,sentences,paragraph
38,"I was rather literary in college—one year I wrote a
series of very solemn and obvious editorials for the Yale News—and now
I was going to bring back all such things into my life and become
again that most limited of all specialists, the “well-rounded man.”
This isn’t just an epigram—life is much more successfully looked at
from a single window, after all.",13
39,"It was a matter of chance that I should have rented a house in one of
the strangest communities in North America.",14
40,"It was on that slender
riotous island which extends itself due east of New York—and where
there are, among other natural curiosities, two unusual formations of
land.",14
41,"Twenty miles from the city a pair of enormous eggs, identical in
contour and separated only by a courtesy bay, jut out into the most
domesticated body of salt water in the Western hemisphere, the great
wet barnyard of Long Island Sound.",14
42,"They are not perfect ovals—like the
egg in the Columbus story, they are both crushed flat at the contact
end—but their physical resemblance must be a source of perpetual
wonder to the gulls that fly overhead.",14
43,"To the wingless a more
interesting phenomenon is their dissimilarity in every particular
except shape and size.",14
44,"I lived at West Egg, the—well, the less fashionable of the two, though
this is a most superficial tag to express the bizarre and not a little
sinister contrast between them.",15
45,"My house was at the very tip of the
egg, only fifty yards from the Sound, and squeezed between two huge
places that rented for twelve or fifteen thousand a season.",15
46,"The one on
my right was a colossal affair by any standard—it was a factual
imitation of some Hôtel de Ville in Normandy, with a tower on one
side, spanking new under a thin beard of raw ivy, and a marble
swimming pool, and more than forty acres of lawn and garden.",15
47,"It was
Gatsby’s mansion.",15
48,"Or, rather, as I didn’t know Mr. Gatsby, it was a
mansion inhabited by a gentleman of that name.",15
49,"My own house was an
eyesore, but it was a small eyesore, and it had been overlooked, so I
had a view of the water, a partial view of my neighbour’s lawn, and
the consoling proximity of millionaires—all for eighty dollars a
month.",15
50,"Across the courtesy bay the white palaces of fashionable East Egg
glittered along the water, and the history of the summer really begins
on the evening I drove over there to have dinner with the Tom
Buchanans.",16
51,"Daisy was my second cousin once removed, and I’d known Tom
in college.",16
52,"And just after the war I spent two days with them in
Chicago.",16
53,"Her husband, among various physical accomplishments, had been one of
the most powerful ends that ever played football at New Haven—a
national figure in a way, one of those men who reach such an acute
limited excellence at twenty-one that everything afterward savours of
anticlimax.",17
54,"His family were enormously wealthy—even in college his
freedom with money was a matter for reproach—but now he’d left Chicago
and come East in a fashion that rather took your breath away: for
instance, he’d brought down a string of polo ponies from Lake
Forest.",17
55,"It was hard to realize that a man in my own generation was
wealthy enough to do that.",17
56,Why they came East I don’t know.,18
57,"They had spent a year in France for
no particular reason, and then drifted here and there unrestfully
wherever people played polo and were rich together.",18
58,"This was a
permanent move, said Daisy over the telephone, but I didn’t believe
it—I had no sight into Daisy’s heart, but I felt that Tom would drift
on forever seeking, a little wistfully, for the dramatic turbulence of
some irrecoverable football game.",18
59,"And so it happened that on a warm windy evening I drove over to East
Egg to see two old friends whom I scarcely knew at all.",19
60,"Their house
was even more elaborate than I expected, a cheerful red-and-white
Georgian Colonial mansion, overlooking the bay.",19
61,"The lawn started at
the beach and ran towards the front door for a quarter of a mile,
jumping over sundials and brick walks and burning gardens—finally when
it reached the house drifting up the side in bright vines as though
from the momentum of its run.",19
62,"The front was broken by a line of French
windows, glowing now with reflected gold and wide open to the warm
windy afternoon, and Tom Buchanan in riding clothes was standing with
his legs apart on the front porch.",19
63,He had changed since his New Haven years.,20
64,"Now he was a sturdy
straw-haired man of thirty, with a rather hard mouth and a
supercilious manner.",20
65,"Two shining arrogant eyes had established
dominance over his face and gave him the appearance of always leaning
aggressively forward.",20
66,"Not even the effeminate swank of his riding
clothes could hide the enormous power of that body—he seemed to fill
those glistening boots until he strained the top lacing, and you could
see a great pack of muscle shifting when his shoulder moved under his
thin coat.",20
67,It was a body capable of enormous leverage—a cruel body.,20
68,"His speaking voice, a gruff husky tenor, added to the impression of
fractiousness he conveyed.",21
69,"There was a touch of paternal contempt in
it, even toward people he liked—and there were men at New Haven who
had hated his guts.",21
70,"“Now, don’t think my opinion on these matters is final,” he seemed to
say, “just because I’m stronger and more of a man than you are.” We
were in the same senior society, and while we were never intimate I
always had the impression that he approved of me and wanted me to like
him with some harsh, defiant wistfulness of his own.",22
71,We talked for a few minutes on the sunny porch.,23
72,"“I’ve got a nice place here,” he said, his eyes flashing about
restlessly.",24
73,"Turning me around by one arm, he moved a broad flat hand along the
front vista, including in its sweep a sunken Italian garden, a half
acre of deep, pungent roses, and a snub-nosed motorboat that bumped
the tide offshore.",25
74,"“It belonged to Demaine, the oil man.” He turned me around again,
politely and abruptly.",26
75,“We’ll go inside.”,26
76,"We walked through a high hallway into a bright rosy-coloured space,
fragilely bound into the house by French windows at either end.",27
77,"The
windows were ajar and gleaming white against the fresh grass outside
that seemed to grow a little way into the house.",27
78,"A breeze blew through
the room, blew curtains in at one end and out the other like pale
flags, twisting them up toward the frosted wedding-cake of the
ceiling, and then rippled over the wine-coloured rug, making a shadow
on it as wind does on the sea.",27
79,"The only completely stationary object in the room was an enormous
couch on which two young women were buoyed up as though upon an
anchored balloon.",28
80,"They were both in white, and their dresses were
rippling and fluttering as if they had just been blown back in after a
short flight around the house.",28
81,"I must have stood for a few moments
listening to the whip and snap of the curtains and the groan of a
picture on the wall.",28
82,"Then there was a boom as Tom Buchanan shut the
rear windows and the caught wind died out about the room, and the
curtains and the rugs and the two young women ballooned slowly to the
floor.",28
83,The younger of the two was a stranger to me.,29
84,"She was extended full
length at her end of the divan, completely motionless, and with her
chin raised a little, as if she were balancing something on it which
was quite likely to fall.",29
85,"If she saw me out of the corner of her eyes
she gave no hint of it—indeed, I was almost surprised into murmuring
an apology for having disturbed her by coming in.",29
86,"The other girl, Daisy, made an attempt to rise—she leaned slightly
forward with a conscientious expression—then she laughed, an absurd,
charming little laugh, and I laughed too and came forward into the
room.",30
87,“I’m p-paralysed with happiness.”,31
88,"She laughed again, as if she said something very witty, and held my
hand for a moment, looking up into my face, promising that there was
no one in the world she so much wanted to see.",32
89,"That was a way she
had.",32
90,"She hinted in a murmur that the surname of the balancing girl was
Baker.",32
91,"(I’ve heard it said that Daisy’s murmur was only to make people
lean toward her; an irrelevant criticism that made it no less
charming.)",32
92,"At any rate, Miss Baker’s lips fluttered, she nodded at me almost
imperceptibly, and then quickly tipped her head back again—the object
she was balancing had obviously tottered a little and given her
something of a fright.",33
93,Again a sort of apology arose to my lips.,33
94,"Almost any exhibition of complete self-sufficiency draws a stunned
tribute from me.",33
95,"I looked back at my cousin, who began to ask me questions in her low,
thrilling voice.",34
96,"It was the kind of voice that the ear follows up and
down, as if each speech is an arrangement of notes that will never be
played again.",34
97,"Her face was sad and lovely with bright things in it,
bright eyes and a bright passionate mouth, but there was an excitement
in her voice that men who had cared for her found difficult to forget:
a singing compulsion, a whispered “Listen,” a promise that she had
done gay, exciting things just a while since and that there were gay,
exciting things hovering in the next hour.",34
98,"I told her how I had stopped off in Chicago for a day on my way East,
and how a dozen people had sent their love through me.",35
99,“Do they miss me?” she cried ecstatically.,36
100,“The whole town is desolate.,37
101,"All the cars have the left rear wheel
painted black as a mourning wreath, and there’s a persistent wail all
night along the north shore.”",37
102,“How gorgeous!,38
103,"Let’s go back, Tom.",38
104,"Tomorrow!” Then she added
irrelevantly: “You ought to see the baby.”",38
105,“I’d like to.”,39
106,“She’s asleep.,40
107,She’s three years old.,40
108,Haven’t you ever seen her?”,40
109,“Never.”,41
110,"“Well, you ought to see her.",42
111,She’s—”,42
112,"Tom Buchanan, who had been hovering restlessly about the room, stopped
and rested his hand on my shoulder.",43
113,"“What you doing, Nick?”",44
114,“I’m a bond man.”,45
115,“Who with?”,46
116,I told him.,47
117,"“Never heard of them,” he remarked decisively.",48
118,This annoyed me.,49
119,"“You will,” I answered shortly.",50
120,“You will if you stay in the East.”,50
121,"“Oh, I’ll stay in the East, don’t you worry,” he said, glancing at
Daisy and then back at me, as if he were alert for something
more.",51
122,“I’d be a God damned fool to live anywhere else.”,51
123,"At this point Miss Baker said: “Absolutely!” with such suddenness that
I started—it was the first word she had uttered since I came into the
room.",52
124,"Evidently it surprised her as much as it did me, for she yawned
and with a series of rapid, deft movements stood up into the room.",52
125,"“I’m stiff,” she complained, “I’ve been lying on that sofa for as long
as I can remember.”",53
126,"“Don’t look at me,” Daisy retorted, “I’ve been trying to get you to
New York all afternoon.”",54
127,"“No, thanks,” said Miss Baker to the four cocktails just in from the
pantry.",55
128,“I’m absolutely in training.”,55
129,Her host looked at her incredulously.,56
130,"“You are!” He took down his drink as if it were a drop in the bottom
of a glass.",57
131,“How you ever get anything done is beyond me.”,57
132,"I looked at Miss Baker, wondering what it was she “got done.” I
enjoyed looking at her.",58
133,"She was a slender, small-breasted girl, with
an erect carriage, which she accentuated by throwing her body backward
at the shoulders like a young cadet.",58
134,"Her grey sun-strained eyes looked
back at me with polite reciprocal curiosity out of a wan, charming,
discontented face.",58
135,"It occurred to me now that I had seen her, or a
picture of her, somewhere before.",58
136,"“You live in West Egg,” she remarked contemptuously.",59
137,"“I know somebody
there.”",59
138,“I don’t know a single—”,60
139,“You must know Gatsby.”,61
140,“Gatsby?” demanded Daisy.,62
141,“What Gatsby?”,62
142,"Before I could reply that he was my neighbour dinner was announced;
wedging his tense arm imperatively under mine, Tom Buchanan compelled
me from the room as though he were moving a checker to another square.",63
143,"Slenderly, languidly, their hands set lightly on their hips, the two
young women preceded us out on to a rosy-coloured porch, open toward
the sunset, where four candles flickered on the table in the
diminished wind.",64
144,"“Why candles?” objected Daisy, frowning.",65
145,"She snapped them out with her
fingers.",65
146,"“In two weeks it’ll be the longest day in the year.” She
looked at us all radiantly.",65
147,"“Do you always watch for the longest day
of the year and then miss it?",65
148,"I always watch for the longest day in
the year and then miss it.”",65
149,"“We ought to plan something,” yawned Miss Baker, sitting down at the
table as if she were getting into bed.",66
150,"“All right,” said Daisy.",67
151,"“What’ll we plan?” She turned to me
helplessly: “What do people plan?”",67
152,"Before I could answer her eyes fastened with an awed expression on her
little finger.",68
153,“Look!” she complained; “I hurt it.”,69
154,We all looked—the knuckle was black and blue.,70
155,"“You did it, Tom,” she said accusingly.",71
156,"“I know you didn’t mean to,
but you did do it.",71
157,"That’s what I get for marrying a brute of a man, a
great, big, hulking physical specimen of a—”",71
158,"“I hate that word ‘hulking,’ ” objected Tom crossly, “even in
kidding.”",72
159,"“Hulking,” insisted Daisy.",73
160,"Sometimes she and Miss Baker talked at once, unobtrusively and with a
bantering inconsequence that was never quite chatter, that was as cool
as their white dresses and their impersonal eyes in the absence of all
desire.",74
161,"They were here, and they accepted Tom and me, making only a
polite pleasant effort to entertain or to be entertained.",74
162,"They knew
that presently dinner would be over and a little later the evening too
would be over and casually put away.",74
163,"It was sharply different from the
West, where an evening was hurried from phase to phase towards its
close, in a continually disappointed anticipation or else in sheer
nervous dread of the moment itself.",74
164,"“You make me feel uncivilized, Daisy,” I confessed on my second glass
of corky but rather impressive claret.",75
165,"“Can’t you talk about crops or
something?”",75
166,"I meant nothing in particular by this remark, but it was taken up in
an unexpected way.",76
167,"“Civilization’s going to pieces,” broke out Tom violently.",77
168,"“I’ve
gotten to be a terrible pessimist about things.",77
169,"Have you read The Rise
of the Coloured Empires by this man Goddard?”",77
170,"“Why, no,” I answered, rather surprised by his tone.",78
171,"“Well, it’s a fine book, and everybody ought to read it.",79
172,"The idea is
if we don’t look out the white race will be—will be utterly
submerged.",79
173,It’s all scientific stuff; it’s been proved.”,79
174,"“Tom’s getting very profound,” said Daisy, with an expression of
unthoughtful sadness.",80
175,"“He reads deep books with long words in
them.",80
176,What was that word we—”,80
177,"“Well, these books are all scientific,” insisted Tom, glancing at her
impatiently.",81
178,“This fellow has worked out the whole thing.,81
179,"It’s up to
us, who are the dominant race, to watch out or these other races will
have control of things.”",81
180,"“We’ve got to beat them down,” whispered Daisy, winking ferociously
toward the fervent sun.",82
181,"“You ought to live in California—” began Miss Baker, but Tom
interrupted her by shifting heavily in his chair.",83
182,“This idea is that we’re Nordics.,84
183,"I am, and you are, and you are,
and—” After an infinitesimal hesitation he included Daisy with a
slight nod, and she winked at me again.",84
184,"“—And we’ve produced all the
things that go to make civilization—oh, science and art, and all
that.",84
185,Do you see?”,84
186,"There was something pathetic in his concentration, as if his
complacency, more acute than of old, was not enough to him any more.",85
187,"When, almost immediately, the telephone rang inside and the butler
left the porch Daisy seized upon the momentary interruption and leaned
towards me.",85
188,"“I’ll tell you a family secret,” she whispered enthusiastically.",86
189,“It’s about the butler’s nose.,86
190,"Do you want to hear about the butler’s
nose?”",86
191,“That’s why I came over tonight.”,87
192,"“Well, he wasn’t always a butler; he used to be the silver polisher
for some people in New York that had a silver service for two hundred
people.",88
193,"He had to polish it from morning till night, until finally it
began to affect his nose—”",88
194,"“Things went from bad to worse,” suggested Miss Baker.",89
195,“Yes.,90
196,"Things went from bad to worse, until finally he had to give up
his position.”",90
197,"For a moment the last sunshine fell with romantic affection upon her
glowing face; her voice compelled me forward breathlessly as I
listened—then the glow faded, each light deserting her with lingering
regret, like children leaving a pleasant street at dusk.",91
198,"The butler came back and murmured something close to Tom’s ear,
whereupon Tom frowned, pushed back his chair, and without a word went
inside.",92
199,"As if his absence quickened something within her, Daisy leaned
forward again, her voice glowing and singing.",92
200,"“I love to see you at my table, Nick.",93
201,"You remind me of a—of a rose, an
absolute rose.",93
202,"Doesn’t he?” She turned to Miss Baker for confirmation:
“An absolute rose?”",93
203,This was untrue.,94
204,I am not even faintly like a rose.,94
205,"She was only
extemporizing, but a stirring warmth flowed from her, as if her heart
was trying to come out to you concealed in one of those breathless,
thrilling words.",94
206,"Then suddenly she threw her napkin on the table and
excused herself and went into the house.",94
207,"Miss Baker and I exchanged a short glance consciously devoid of
meaning.",95
208,"I was about to speak when she sat up alertly and said “Sh!”
in a warning voice.",95
209,"A subdued impassioned murmur was audible in the
room beyond, and Miss Baker leaned forward unashamed, trying to
hear.",95
210,"The murmur trembled on the verge of coherence, sank down,
mounted excitedly, and then ceased altogether.",95
211,“This Mr. Gatsby you spoke of is my neighbour—” I began.,96
212,“Don’t talk.,97
213,I want to hear what happens.”,97
214,“Is something happening?” I inquired innocently.,98
215,"“You mean to say you don’t know?” said Miss Baker, honestly surprised.",99
216,“I thought everybody knew.”,99
217,“I don’t.”,100
218,“Why—” she said hesitantly.,101
219,“Tom’s got some woman in New York.”,101
220,“Got some woman?” I repeated blankly.,102
221,Miss Baker nodded.,103
222,“She might have the decency not to telephone him at dinner time.,104
223,Don’t you think?”,104
224,"Almost before I had grasped her meaning there was the flutter of a
dress and the crunch of leather boots, and Tom and Daisy were back at
the table.",105
225,“It couldn’t be helped!” cried Daisy with tense gaiety.,106
226,"She sat down, glanced searchingly at Miss Baker and then at me, and
continued: “I looked outdoors for a minute, and it’s very romantic
outdoors.",107
227,"There’s a bird on the lawn that I think must be a
nightingale come over on the Cunard or White Star Line.",107
228,"He’s singing
away—” Her voice sang: “It’s romantic, isn’t it, Tom?”",107
229,"“Very romantic,” he said, and then miserably to me: “If it’s light
enough after dinner, I want to take you down to the stables.”",108
230,"The telephone rang inside, startlingly, and as Daisy shook her head
decisively at Tom the subject of the stables, in fact all subjects,
vanished into air.",109
231,"Among the broken fragments of the last five minutes
at table I remember the candles being lit again, pointlessly, and I
was conscious of wanting to look squarely at everyone, and yet to
avoid all eyes.",109
232,"I couldn’t guess what Daisy and Tom were thinking, but
I doubt if even Miss Baker, who seemed to have mastered a certain
hardy scepticism, was able utterly to put this fifth guest’s shrill
metallic urgency out of mind.",109
233,"To a certain temperament the situation
might have seemed intriguing—my own instinct was to telephone
immediately for the police.",109
234,"The horses, needless to say, were not mentioned again.",110
235,"Tom and Miss
Baker, with several feet of twilight between them, strolled back into
the library, as if to a vigil beside a perfectly tangible body, while,
trying to look pleasantly interested and a little deaf, I followed
Daisy around a chain of connecting verandas to the porch in front.",110
236,"In
its deep gloom we sat down side by side on a wicker settee.",110
237,"Daisy took her face in her hands as if feeling its lovely shape, and
her eyes moved gradually out into the velvet dusk.",111
238,"I saw that
turbulent emotions possessed her, so I asked what I thought would be
some sedative questions about her little girl.",111
239,"“We don’t know each other very well, Nick,” she said suddenly.",112
240,"“Even
if we are cousins.",112
241,You didn’t come to my wedding.”,112
242,“I wasn’t back from the war.”,113
243,“That’s true.” She hesitated.,114
244,"“Well, I’ve had a very bad time, Nick,
and I’m pretty cynical about everything.”",114
245,Evidently she had reason to be.,115
246,"I waited but she didn’t say any more,
and after a moment I returned rather feebly to the subject of her
daughter.",115
247,"“I suppose she talks, and—eats, and everything.”",116
248,"“Oh, yes.” She looked at me absently.",117
249,"“Listen, Nick; let me tell you
what I said when she was born.",117
250,Would you like to hear?”,117
251,“Very much.”,118
252,“It’ll show you how I’ve gotten to feel about—things.,119
253,"Well, she was
less than an hour old and Tom was God knows where.",119
254,"I woke up out of
the ether with an utterly abandoned feeling, and asked the nurse right
away if it was a boy or a girl.",119
255,"She told me it was a girl, and so I
turned my head away and wept.",119
256,"‘All right,’ I said, ‘I’m glad it’s a
girl.",119
257,"And I hope she’ll be a fool—that’s the best thing a girl can be
in this world, a beautiful little fool.’",119
258,"“You see I think everything’s terrible anyhow,” she went on in a
convinced way.",120
259,“Everybody thinks so—the most advanced people.,120
260,"And I
know.",120
261,"I’ve been everywhere and seen everything and done everything.”
Her eyes flashed around her in a defiant way, rather like Tom’s, and
she laughed with thrilling scorn.",120
262,"“Sophisticated—God, I’m
sophisticated!”",120
263,"The instant her voice broke off, ceasing to compel my attention, my
belief, I felt the basic insincerity of what she had said.",121
264,"It made me
uneasy, as though the whole evening had been a trick of some sort to
exact a contributory emotion from me.",121
265,"I waited, and sure enough, in a
moment she looked at me with an absolute smirk on her lovely face, as
if she had asserted her membership in a rather distinguished secret
society to which she and Tom belonged.",121
266,"Inside, the crimson room bloomed with light.",123
267,"Tom and Miss Baker sat at
either end of the long couch and she read aloud to him from the
Saturday Evening Post—the words, murmurous and uninflected, running
together in a soothing tune.",123
268,"The lamplight, bright on his boots and
dull on the autumn-leaf yellow of her hair, glinted along the paper as
she turned a page with a flutter of slender muscles in her arms.",123
269,When we came in she held us silent for a moment with a lifted hand.,124
270,"“To be continued,” she said, tossing the magazine on the table, “in
our very next issue.”",125
271,"Her body asserted itself with a restless movement of her knee, and she
stood up.",126
272,"“Ten o’clock,” she remarked, apparently finding the time on the
ceiling.",127
273,“Time for this good girl to go to bed.”,127
274,"“Jordan’s going to play in the tournament tomorrow,” explained Daisy,
“over at Westchester.”",128
275,“Oh—you’re Jordan Baker.”,129
276,"I knew now why her face was familiar—its pleasing contemptuous
expression had looked out at me from many rotogravure pictures of the
sporting life at Asheville and Hot Springs and Palm Beach.",130
277,"I had heard
some story of her too, a critical, unpleasant story, but what it was I
had forgotten long ago.",130
278,"“Good night,” she said softly.",131
279,"“Wake me at eight, won’t you.”",131
280,“If you’ll get up.”,132
281,“I will.,133
282,"Good night, Mr. Carraway.",133
283,See you anon.”,133
284,"“Of course you will,” confirmed Daisy.",134
285,"“In fact I think I’ll arrange a
marriage.",134
286,"Come over often, Nick, and I’ll sort of—oh—fling you
together.",134
287,"You know—lock you up accidentally in linen closets and push
you out to sea in a boat, and all that sort of thing—”",134
288,"“Good night,” called Miss Baker from the stairs.",135
289,"“I haven’t heard a
word.”",135
290,"“She’s a nice girl,” said Tom after a moment.",136
291,"“They oughtn’t to let
her run around the country this way.”",136
292,“Who oughtn’t to?” inquired Daisy coldly.,137
293,“Her family.”,138
294,“Her family is one aunt about a thousand years old.,139
295,"Besides, Nick’s
going to look after her, aren’t you, Nick?",139
296,"She’s going to spend lots
of weekends out here this summer.",139
297,"I think the home influence will be
very good for her.”",139
298,Daisy and Tom looked at each other for a moment in silence.,140
299,“Is she from New York?” I asked quickly.,141
300,“From Louisville.,142
301,Our white girlhood was passed together there.,142
302,"Our
beautiful white—”",142
303,"“Did you give Nick a little heart to heart talk on the veranda?”
demanded Tom suddenly.",143
304,“Did I?” She looked at me.,144
305,"“I can’t seem to remember, but I think we
talked about the Nordic race.",144
306,"Yes, I’m sure we did.",144
307,"It sort of crept
up on us and first thing you know—”",144
308,"“Don’t believe everything you hear, Nick,” he advised me.",145
309,"I said lightly that I had heard nothing at all, and a few minutes
later I got up to go home.",146
310,"They came to the door with me and stood
side by side in a cheerful square of light.",146
311,"As I started my motor
Daisy peremptorily called: “Wait!",146
312,"“I forgot to ask you something, and it’s important.",147
313,"We heard you were
engaged to a girl out West.”",147
314,"“That’s right,” corroborated Tom kindly.",148
315,"“We heard that you were
engaged.”",148
316,“It’s a libel.,149
317,I’m too poor.”,149
318,"“But we heard it,” insisted Daisy, surprising me by opening up again
in a flower-like way.",150
319,"“We heard it from three people, so it must be
true.”",150
320,"Of course I knew what they were referring to, but I wasn’t even
vaguely engaged.",151
321,"The fact that gossip had published the banns was one
of the reasons I had come East.",151
322,"You can’t stop going with an old
friend on account of rumours, and on the other hand I had no intention
of being rumoured into marriage.",151
323,"Their interest rather touched me and made them less remotely
rich—nevertheless, I was confused and a little disgusted as I drove
away.",152
324,"It seemed to me that the thing for Daisy to do was to rush out
of the house, child in arms—but apparently there were no such
intentions in her head.",152
325,"As for Tom, the fact that he “had some woman
in New York” was really less surprising than that he had been
depressed by a book.",152
326,"Something was making him nibble at the edge of
stale ideas as if his sturdy physical egotism no longer nourished his
peremptory heart.",152
327,"Already it was deep summer on roadhouse roofs and in front of wayside
garages, where new red petrol-pumps sat out in pools of light, and
when I reached my estate at West Egg I ran the car under its shed and
sat for a while on an abandoned grass roller in the yard.",153
328,"The wind had
blown off, leaving a loud, bright night, with wings beating in the
trees and a persistent organ sound as the full bellows of the earth
blew the frogs full of life.",153
329,"The silhouette of a moving cat wavered
across the moonlight, and, turning my head to watch it, I saw that I
was not alone—fifty feet away a figure had emerged from the shadow of
my neighbour’s mansion and was standing with his hands in his pockets
regarding the silver pepper of the stars.",153
330,"Something in his leisurely
movements and the secure position of his feet upon the lawn suggested
that it was Mr. Gatsby himself, come out to determine what share was
his of our local heavens.",153
331,I decided to call to him.,154
332,"Miss Baker had mentioned him at dinner, and
that would do for an introduction.",154
333,"But I didn’t call to him, for he
gave a sudden intimation that he was content to be alone—he stretched
out his arms toward the dark water in a curious way, and, far as I was
from him, I could have sworn he was trembling.",154
334,"Involuntarily I glanced
seaward—and distinguished nothing except a single green light, minute
and far away, that might have been the end of a dock.",154
335,"When I looked
once more for Gatsby he had vanished, and I was alone again in the
unquiet darkness.",154
336,"
                                  II",155
337,"About halfway between West Egg and New York the motor road hastily
joins the railroad and runs beside it for a quarter of a mile, so as
to shrink away from a certain desolate area of land.",156
338,"This is a valley
of ashes—a fantastic farm where ashes grow like wheat into ridges and
hills and grotesque gardens; where ashes take the forms of houses and
chimneys and rising smoke and, finally, with a transcendent effort, of
ash-grey men, who move dimly and already crumbling through the powdery
air.",156
339,"Occasionally a line of grey cars crawls along an invisible track,
gives out a ghastly creak, and comes to rest, and immediately the
ash-grey men swarm up with leaden spades and stir up an impenetrable
cloud, which screens their obscure operations from your sight.",156
340,"But above the grey land and the spasms of bleak dust which drift
endlessly over it, you perceive, after a moment, the eyes of Doctor T.
J. Eckleburg.",157
341,"The eyes of Doctor T. J. Eckleburg are blue and
gigantic—their retinas are one yard high.",157
342,"They look out of no face,
but, instead, from a pair of enormous yellow spectacles which pass
over a nonexistent nose.",157
343,"Evidently some wild wag of an oculist set
them there to fatten his practice in the borough of Queens, and then
sank down himself into eternal blindness, or forgot them and moved
away.",157
344,"But his eyes, dimmed a little by many paintless days, under sun
and rain, brood on over the solemn dumping ground.",157
345,"The valley of ashes is bounded on one side by a small foul river, and,
when the drawbridge is up to let barges through, the passengers on
waiting trains can stare at the dismal scene for as long as half an
hour.",158
