,lines,paragraph
48,"producing a kind of momentary Japanese effect, and making him think of",16
49,"those pallid, jade-faced painters of Tokyo who, through the medium of",16
50,"an art that is necessarily immobile, seek to convey the sense of",16
51,swiftness and motion. The sullen murmur of the bees shouldering their,16
52,"way through the long unmown grass, or circling with monotonous",16
53,"insistence round the dusty gilt horns of the straggling woodbine,",16
54,seemed to make the stillness more oppressive. The dim roar of London,16
55,was like the bourdon note of a distant organ.,16
56,"In the centre of the room, clamped to an upright easel, stood the",17
57,"full-length portrait of a young man of extraordinary personal beauty,",17
58,"and in front of it, some little distance away, was sitting the artist",17
59,"himself, Basil Hallward, whose sudden disappearance some years ago",17
60,"caused, at the time, such public excitement and gave rise to so many",17
61,strange conjectures.,17
62,As the painter looked at the gracious and comely form he had so,18
63,"skilfully mirrored in his art, a smile of pleasure passed across his",18
64,"face, and seemed about to linger there. But he suddenly started up, and",18
65,"closing his eyes, placed his fingers upon the lids, as though he sought",18
66,to imprison within his brain some curious dream from which he feared he,18
67,might awake.,18
68,"“It is your best work, Basil, the best thing you have ever done,” said",19
69,Lord Henry languidly. “You must certainly send it next year to the,19
70,Grosvenor. The Academy is too large and too vulgar. Whenever I have,19
71,"gone there, there have been either so many people that I have not been",19
72,"able to see the pictures, which was dreadful, or so many pictures that",19
73,"I have not been able to see the people, which was worse. The Grosvenor",19
74,is really the only place.”,19
75,"“I don’t think I shall send it anywhere,” he answered, tossing his head",20
76,back in that odd way that used to make his friends laugh at him at,20
77,"Oxford. “No, I won’t send it anywhere.”",20
78,Lord Henry elevated his eyebrows and looked at him in amazement through,21
79,the thin blue wreaths of smoke that curled up in such fanciful whorls,21
80,"from his heavy, opium-tainted cigarette. “Not send it anywhere? My dear",21
81,"fellow, why? Have you any reason? What odd chaps you painters are! You",21
82,"do anything in the world to gain a reputation. As soon as you have one,",21
83,"you seem to want to throw it away. It is silly of you, for there is",21
84,"only one thing in the world worse than being talked about, and that is",21
85,not being talked about. A portrait like this would set you far above,21
86,"all the young men in England, and make the old men quite jealous, if",21
87,old men are ever capable of any emotion.”,21
88,"“I know you will laugh at me,” he replied, “but I really can’t exhibit",22
89,it. I have put too much of myself into it.”,22
90,Lord Henry stretched himself out on the divan and laughed.,23
91,"“Yes, I knew you would; but it is quite true, all the same.”",24
92,"“Too much of yourself in it! Upon my word, Basil, I didn’t know you",25
93,"were so vain; and I really can’t see any resemblance between you, with",25
94,"your rugged strong face and your coal-black hair, and this young",25
95,"Adonis, who looks as if he was made out of ivory and rose-leaves. Why,",25
96,"my dear Basil, he is a Narcissus, and you—well, of course you have an",25
97,"intellectual expression and all that. But beauty, real beauty, ends",25
98,where an intellectual expression begins. Intellect is in itself a mode,25
99,"of exaggeration, and destroys the harmony of any face. The moment one",25
100,"sits down to think, one becomes all nose, or all forehead, or something",25
101,horrid. Look at the successful men in any of the learned professions.,25
102,"How perfectly hideous they are! Except, of course, in the Church. But",25
103,then in the Church they don’t think. A bishop keeps on saying at the,25
104,"age of eighty what he was told to say when he was a boy of eighteen,",25
105,and as a natural consequence he always looks absolutely delightful.,25
106,"Your mysterious young friend, whose name you have never told me, but",25
107,"whose picture really fascinates me, never thinks. I feel quite sure of",25
108,that. He is some brainless beautiful creature who should be always here,25
109,"in winter when we have no flowers to look at, and always here in summer",25
110,when we want something to chill our intelligence. Don’t flatter,25
111,"yourself, Basil: you are not in the least like him.”",25
112,"“You don’t understand me, Harry,” answered the artist. “Of course I am",26
113,"not like him. I know that perfectly well. Indeed, I should be sorry to",26
114,look like him. You shrug your shoulders? I am telling you the truth.,26
115,"There is a fatality about all physical and intellectual distinction,",26
116,the sort of fatality that seems to dog through history the faltering,26
117,steps of kings. It is better not to be different from one’s fellows.,26
118,The ugly and the stupid have the best of it in this world. They can sit,26
119,"at their ease and gape at the play. If they know nothing of victory,",26
120,they are at least spared the knowledge of defeat. They live as we all,26
121,"should live—undisturbed, indifferent, and without disquiet. They",26
122,"neither bring ruin upon others, nor ever receive it from alien hands.",26
123,"Your rank and wealth, Harry; my brains, such as they are—my art,",26
124,whatever it may be worth; Dorian Gray’s good looks—we shall all suffer,26
125,"for what the gods have given us, suffer terribly.”",26
126,"“Dorian Gray? Is that his name?” asked Lord Henry, walking across the",27
127,studio towards Basil Hallward.,27
128,"“Yes, that is his name. I didn’t intend to tell it to you.”",28
129,“But why not?”,29
130,"“Oh, I can’t explain. When I like people immensely, I never tell their",30
131,names to any one. It is like surrendering a part of them. I have grown,30
132,to love secrecy. It seems to be the one thing that can make modern life,30
133,mysterious or marvellous to us. The commonest thing is delightful if,30
134,one only hides it. When I leave town now I never tell my people where I,30
135,"am going. If I did, I would lose all my pleasure. It is a silly habit,",30
136,"I dare say, but somehow it seems to bring a great deal of romance into",30
137,one’s life. I suppose you think me awfully foolish about it?”,30
138,"“Not at all,” answered Lord Henry, “not at all, my dear Basil. You seem",31
139,"to forget that I am married, and the one charm of marriage is that it",31
140,makes a life of deception absolutely necessary for both parties. I,31
141,"never know where my wife is, and my wife never knows what I am doing.",31
142,"When we meet—we do meet occasionally, when we dine out together, or go",31
143,down to the Duke’s—we tell each other the most absurd stories with the,31
144,"most serious faces. My wife is very good at it—much better, in fact,",31
145,"than I am. She never gets confused over her dates, and I always do. But",31
146,"when she does find me out, she makes no row at all. I sometimes wish",31
147,she would; but she merely laughs at me.”,31
148,"“I hate the way you talk about your married life, Harry,” said Basil",32
149,"Hallward, strolling towards the door that led into the garden. “I",32
150,"believe that you are really a very good husband, but that you are",32
151,thoroughly ashamed of your own virtues. You are an extraordinary,32
152,"fellow. You never say a moral thing, and you never do a wrong thing.",32
153,Your cynicism is simply a pose.”,32
154,"“Being natural is simply a pose, and the most irritating pose I know,”",33
155,"cried Lord Henry, laughing; and the two young men went out into the",33
156,garden together and ensconced themselves on a long bamboo seat that,33
157,stood in the shade of a tall laurel bush. The sunlight slipped over the,33
158,"polished leaves. In the grass, white daisies were tremulous.",33
159,"After a pause, Lord Henry pulled out his watch. “I am afraid I must be",34
160,"going, Basil,” he murmured, “and before I go, I insist on your",34
161,answering a question I put to you some time ago.”,34
162,"“What is that?” said the painter, keeping his eyes fixed on the ground.",35
163,“You know quite well.”,36
164,"“I do not, Harry.”",37
165,"“Well, I will tell you what it is. I want you to explain to me why you",38
166,won’t exhibit Dorian Gray’s picture. I want the real reason.”,38
167,“I told you the real reason.”,39
168,"“No, you did not. You said it was because there was too much of",40
169,"yourself in it. Now, that is childish.”",40
170,"“Harry,” said Basil Hallward, looking him straight in the face, “every",41
171,"portrait that is painted with feeling is a portrait of the artist, not",41
172,"of the sitter. The sitter is merely the accident, the occasion. It is",41
173,"not he who is revealed by the painter; it is rather the painter who, on",41
174,"the coloured canvas, reveals himself. The reason I will not exhibit",41
175,this picture is that I am afraid that I have shown in it the secret of,41
176,my own soul.”,41
177,Lord Henry laughed. “And what is that?” he asked.,42
178,"“I will tell you,” said Hallward; but an expression of perplexity came",43
179,over his face.,43
180,"“I am all expectation, Basil,” continued his companion, glancing at",44
181,him.,44
182,"“Oh, there is really very little to tell, Harry,” answered the painter;",45
183,“and I am afraid you will hardly understand it. Perhaps you will hardly,45
184,believe it.”,45
185,"Lord Henry smiled, and leaning down, plucked a pink-petalled daisy from",46
186,"the grass and examined it. “I am quite sure I shall understand it,” he",46
187,"replied, gazing intently at the little golden, white-feathered disk,",46
188,"“and as for believing things, I can believe anything, provided that it",46
189,is quite incredible.”,46
190,"The wind shook some blossoms from the trees, and the heavy",47
191,"lilac-blooms, with their clustering stars, moved to and fro in the",47
192,"languid air. A grasshopper began to chirrup by the wall, and like a",47
193,blue thread a long thin dragon-fly floated past on its brown gauze,47
194,wings. Lord Henry felt as if he could hear Basil Hallward’s heart,47
195,"beating, and wondered what was coming.",47
196,"“The story is simply this,” said the painter after some time. “Two",48
197,months ago I went to a crush at Lady Brandon’s. You know we poor,48
198,"artists have to show ourselves in society from time to time, just to",48
199,remind the public that we are not savages. With an evening coat and a,48
200,"white tie, as you told me once, anybody, even a stock-broker, can gain",48
201,"a reputation for being civilized. Well, after I had been in the room",48
202,"about ten minutes, talking to huge overdressed dowagers and tedious",48
203,"academicians, I suddenly became conscious that some one was looking at",48
204,me. I turned half-way round and saw Dorian Gray for the first time.,48
205,"When our eyes met, I felt that I was growing pale. A curious sensation",48
206,of terror came over me. I knew that I had come face to face with some,48
207,"one whose mere personality was so fascinating that, if I allowed it to",48
208,"do so, it would absorb my whole nature, my whole soul, my very art",48
209,itself. I did not want any external influence in my life. You know,48
210,"yourself, Harry, how independent I am by nature. I have always been my",48
211,"own master; had at least always been so, till I met Dorian Gray.",48
212,Then—but I don’t know how to explain it to you. Something seemed to,48
213,tell me that I was on the verge of a terrible crisis in my life. I had,48
214,a strange feeling that fate had in store for me exquisite joys and,48
215,exquisite sorrows. I grew afraid and turned to quit the room. It was,48
216,not conscience that made me do so: it was a sort of cowardice. I take,48
217,no credit to myself for trying to escape.”,48
218,"“Conscience and cowardice are really the same things, Basil. Conscience",49
219,is the trade-name of the firm. That is all.”,49
220,"“I don’t believe that, Harry, and I don’t believe you do either.",50
221,"However, whatever was my motive—and it may have been pride, for I used",50
222,"to be very proud—I certainly struggled to the door. There, of course, I",50
223,"stumbled against Lady Brandon. ‘You are not going to run away so soon,",50
224,Mr. Hallward?’ she screamed out. You know her curiously shrill voice?”,50
225,"“Yes; she is a peacock in everything but beauty,” said Lord Henry,",51
226,pulling the daisy to bits with his long nervous fingers.,51
227,"“I could not get rid of her. She brought me up to royalties, and people",52
228,"with stars and garters, and elderly ladies with gigantic tiaras and",52
229,parrot noses. She spoke of me as her dearest friend. I had only met her,52
230,"once before, but she took it into her head to lionize me. I believe",52
231,"some picture of mine had made a great success at the time, at least had",52
232,"been chattered about in the penny newspapers, which is the",52
233,nineteenth-century standard of immortality. Suddenly I found myself,52
234,face to face with the young man whose personality had so strangely,52
235,"stirred me. We were quite close, almost touching. Our eyes met again.",52
236,"It was reckless of me, but I asked Lady Brandon to introduce me to him.",52
237,"Perhaps it was not so reckless, after all. It was simply inevitable. We",52
238,would have spoken to each other without any introduction. I am sure of,52
239,"that. Dorian told me so afterwards. He, too, felt that we were destined",52
240,to know each other.”,52
241,“And how did Lady Brandon describe this wonderful young man?” asked his,53
242,companion. “I know she goes in for giving a rapid _précis_ of all her,53
243,guests. I remember her bringing me up to a truculent and red-faced old,53
244,"gentleman covered all over with orders and ribbons, and hissing into my",53
245,"ear, in a tragic whisper which must have been perfectly audible to",53
246,"everybody in the room, the most astounding details. I simply fled. I",53
247,like to find out people for myself. But Lady Brandon treats her guests,53
248,exactly as an auctioneer treats his goods. She either explains them,53
249,"entirely away, or tells one everything about them except what one wants",53
250,to know.”,53
251,"“Poor Lady Brandon! You are hard on her, Harry!” said Hallward",54
252,listlessly.,54
253,"“My dear fellow, she tried to found a _salon_, and only succeeded in",55
254,"opening a restaurant. How could I admire her? But tell me, what did she",55
255,say about Mr. Dorian Gray?”,55
256,"“Oh, something like, ‘Charming boy—poor dear mother and I absolutely",56
257,inseparable. Quite forget what he does—afraid he—doesn’t do,56
258,"anything—oh, yes, plays the piano—or is it the violin, dear Mr. Gray?’",56
259,"Neither of us could help laughing, and we became friends at once.”",56
260,"“Laughter is not at all a bad beginning for a friendship, and it is far",57
261,"the best ending for one,” said the young lord, plucking another daisy.",57
262,"Hallward shook his head. “You don’t understand what friendship is,",58
263,"Harry,” he murmured—“or what enmity is, for that matter. You like every",58
264,"one; that is to say, you are indifferent to every one.”",58
265,"“How horribly unjust of you!” cried Lord Henry, tilting his hat back",59
266,"and looking up at the little clouds that, like ravelled skeins of",59
267,"glossy white silk, were drifting across the hollowed turquoise of the",59
268,summer sky. “Yes; horribly unjust of you. I make a great difference,59
269,"between people. I choose my friends for their good looks, my",59
270,"acquaintances for their good characters, and my enemies for their good",59
271,intellects. A man cannot be too careful in the choice of his enemies. I,59
272,have not got one who is a fool. They are all men of some intellectual,59
273,"power, and consequently they all appreciate me. Is that very vain of",59
274,me? I think it is rather vain.”,59
275,"“I should think it was, Harry. But according to your category I must be",60
276,merely an acquaintance.”,60
277,"“My dear old Basil, you are much more than an acquaintance.”",61
278,"“And much less than a friend. A sort of brother, I suppose?”",62
279,"“Oh, brothers! I don’t care for brothers. My elder brother won’t die,",63
280,and my younger brothers seem never to do anything else.”,63
281,"“Harry!” exclaimed Hallward, frowning.",64
282,"“My dear fellow, I am not quite serious. But I can’t help detesting my",65
283,relations. I suppose it comes from the fact that none of us can stand,65
284,other people having the same faults as ourselves. I quite sympathize,65
285,with the rage of the English democracy against what they call the vices,65
286,"of the upper orders. The masses feel that drunkenness, stupidity, and",65
287,"immorality should be their own special property, and that if any one of",65
288,"us makes an ass of himself, he is poaching on their preserves. When",65
289,"poor Southwark got into the divorce court, their indignation was quite",65
290,magnificent. And yet I don’t suppose that ten per cent of the,65
291,proletariat live correctly.”,65
292,"“I don’t agree with a single word that you have said, and, what is",66
293,"more, Harry, I feel sure you don’t either.”",66
294,Lord Henry stroked his pointed brown beard and tapped the toe of his,67
295,patent-leather boot with a tasselled ebony cane. “How English you are,67
296,Basil! That is the second time you have made that observation. If one,67
297,puts forward an idea to a true Englishman—always a rash thing to do—he,67
298,never dreams of considering whether the idea is right or wrong. The,67
299,only thing he considers of any importance is whether one believes it,67
300,"oneself. Now, the value of an idea has nothing whatsoever to do with",67
301,"the sincerity of the man who expresses it. Indeed, the probabilities",67
302,"are that the more insincere the man is, the more purely intellectual",67
303,"will the idea be, as in that case it will not be coloured by either his",67
304,"wants, his desires, or his prejudices. However, I don’t propose to",67
305,"discuss politics, sociology, or metaphysics with you. I like persons",67
306,"better than principles, and I like persons with no principles better",67
307,than anything else in the world. Tell me more about Mr. Dorian Gray.,67
308,How often do you see him?”,67
309,“Every day. I couldn’t be happy if I didn’t see him every day. He is,68
310,absolutely necessary to me.”,68
311,“How extraordinary! I thought you would never care for anything but,69
312,your art.”,69
313,"“He is all my art to me now,” said the painter gravely. “I sometimes",70
314,"think, Harry, that there are only two eras of any importance in the",70
315,"world’s history. The first is the appearance of a new medium for art,",70
316,and the second is the appearance of a new personality for art also.,70
317,"What the invention of oil-painting was to the Venetians, the face of",70
318,"Antinous was to late Greek sculpture, and the face of Dorian Gray will",70
319,"some day be to me. It is not merely that I paint from him, draw from",70
320,"him, sketch from him. Of course, I have done all that. But he is much",70
321,more to me than a model or a sitter. I won’t tell you that I am,70
322,"dissatisfied with what I have done of him, or that his beauty is such",70
323,"that art cannot express it. There is nothing that art cannot express,",70
324,"and I know that the work I have done, since I met Dorian Gray, is good",70
325,"work, is the best work of my life. But in some curious way—I wonder",70
326,will you understand me?—his personality has suggested to me an entirely,70
327,"new manner in art, an entirely new mode of style. I see things",70
328,"differently, I think of them differently. I can now recreate life in a",70
329,way that was hidden from me before. ‘A dream of form in days of,70
330,thought’—who is it who says that? I forget; but it is what Dorian Gray,70
331,has been to me. The merely visible presence of this lad—for he seems to,70
332,"me little more than a lad, though he is really over twenty—his merely",70
333,visible presence—ah! I wonder can you realize all that that means?,70
334,"Unconsciously he defines for me the lines of a fresh school, a school",70
335,"that is to have in it all the passion of the romantic spirit, all the",70
336,perfection of the spirit that is Greek. The harmony of soul and,70
337,"body—how much that is! We in our madness have separated the two, and",70
338,"have invented a realism that is vulgar, an ideality that is void.",70
339,Harry! if you only knew what Dorian Gray is to me! You remember that,70
340,"landscape of mine, for which Agnew offered me such a huge price but",70
341,which I would not part with? It is one of the best things I have ever,70
342,"done. And why is it so? Because, while I was painting it, Dorian Gray",70
343,"sat beside me. Some subtle influence passed from him to me, and for the",70
344,first time in my life I saw in the plain woodland the wonder I had,70
345,always looked for and always missed.”,70
346,"“Basil, this is extraordinary! I must see Dorian Gray.”",71
347,Hallward got up from the seat and walked up and down the garden. After,72
348,"some time he came back. “Harry,” he said, “Dorian Gray is to me simply",72
349,a motive in art. You might see nothing in him. I see everything in him.,72
350,He is never more present in my work than when no image of him is there.,72
351,"He is a suggestion, as I have said, of a new manner. I find him in the",72
352,"curves of certain lines, in the loveliness and subtleties of certain",72
353,colours. That is all.”,72
354,“Then why won’t you exhibit his portrait?” asked Lord Henry.,73
355,"“Because, without intending it, I have put into it some expression of",74
356,"all this curious artistic idolatry, of which, of course, I have never",74
357,cared to speak to him. He knows nothing about it. He shall never know,74
358,"anything about it. But the world might guess it, and I will not bare my",74
359,soul to their shallow prying eyes. My heart shall never be put under,74
360,"their microscope. There is too much of myself in the thing, Harry—too",74
361,much of myself!”,74
362,“Poets are not so scrupulous as you are. They know how useful passion,75
363,is for publication. Nowadays a broken heart will run to many editions.”,75
364,"“I hate them for it,” cried Hallward. “An artist should create",76
365,"beautiful things, but should put nothing of his own life into them. We",76
366,live in an age when men treat art as if it were meant to be a form of,76
367,autobiography. We have lost the abstract sense of beauty. Some day I,76
368,will show the world what it is; and for that reason the world shall,76
369,never see my portrait of Dorian Gray.”,76
370,"“I think you are wrong, Basil, but I won’t argue with you. It is only",77
371,"the intellectually lost who ever argue. Tell me, is Dorian Gray very",77
372,fond of you?”,77
373,"The painter considered for a few moments. “He likes me,” he answered",78
374,after a pause; “I know he likes me. Of course I flatter him dreadfully.,78
375,I find a strange pleasure in saying things to him that I know I shall,78
376,"be sorry for having said. As a rule, he is charming to me, and we sit",78
377,"in the studio and talk of a thousand things. Now and then, however, he",78
378,"is horribly thoughtless, and seems to take a real delight in giving me",78
379,"pain. Then I feel, Harry, that I have given away my whole soul to some",78
380,"one who treats it as if it were a flower to put in his coat, a bit of",78
381,"decoration to charm his vanity, an ornament for a summer’s day.”",78
382,"“Days in summer, Basil, are apt to linger,” murmured Lord Henry.",79
383,“Perhaps you will tire sooner than he will. It is a sad thing to think,79
384,"of, but there is no doubt that genius lasts longer than beauty. That",79
385,accounts for the fact that we all take such pains to over-educate,79
386,"ourselves. In the wild struggle for existence, we want to have",79
387,"something that endures, and so we fill our minds with rubbish and",79
388,"facts, in the silly hope of keeping our place. The thoroughly",79
389,well-informed man—that is the modern ideal. And the mind of the,79
390,thoroughly well-informed man is a dreadful thing. It is like a,79
391,"_bric-à-brac_ shop, all monsters and dust, with everything priced above",79
392,"its proper value. I think you will tire first, all the same. Some day",79
393,"you will look at your friend, and he will seem to you to be a little",79
394,"out of drawing, or you won’t like his tone of colour, or something. You",79
395,"will bitterly reproach him in your own heart, and seriously think that",79
396,"he has behaved very badly to you. The next time he calls, you will be",79
397,"perfectly cold and indifferent. It will be a great pity, for it will",79
398,"alter you. What you have told me is quite a romance, a romance of art",79
399,"one might call it, and the worst of having a romance of any kind is",79
400,that it leaves one so unromantic.”,79
401,"“Harry, don’t talk like that. As long as I live, the personality of",80
402,Dorian Gray will dominate me. You can’t feel what I feel. You change,80
403,too often.”,80
404,"“Ah, my dear Basil, that is exactly why I can feel it. Those who are",81
405,faithful know only the trivial side of love: it is the faithless who,81
406,know love’s tragedies.” And Lord Henry struck a light on a dainty,81
407,silver case and began to smoke a cigarette with a self-conscious and,81
408,"satisfied air, as if he had summed up the world in a phrase. There was",81
409,"a rustle of chirruping sparrows in the green lacquer leaves of the ivy,",81
410,and the blue cloud-shadows chased themselves across the grass like,81
411,swallows. How pleasant it was in the garden! And how delightful other,81
412,"people’s emotions were!—much more delightful than their ideas, it",81
413,"seemed to him. One’s own soul, and the passions of one’s friends—those",81
414,were the fascinating things in life. He pictured to himself with silent,81
415,amusement the tedious luncheon that he had missed by staying so long,81
416,"with Basil Hallward. Had he gone to his aunt’s, he would have been sure",81
417,"to have met Lord Goodbody there, and the whole conversation would have",81
418,been about the feeding of the poor and the necessity for model,81
419,lodging-houses. Each class would have preached the importance of those,81
420,"virtues, for whose exercise there was no necessity in their own lives.",81
421,"The rich would have spoken on the value of thrift, and the idle grown",81
422,eloquent over the dignity of labour. It was charming to have escaped,81
423,"all that! As he thought of his aunt, an idea seemed to strike him. He",81
424,"turned to Hallward and said, “My dear fellow, I have just remembered.”",81
425,"“Remembered what, Harry?”",82
426,“Where I heard the name of Dorian Gray.”,83
427,"“Where was it?” asked Hallward, with a slight frown.",84
428,"“Don’t look so angry, Basil. It was at my aunt, Lady Agatha’s. She told",85
429,me she had discovered a wonderful young man who was going to help her,85
430,"in the East End, and that his name was Dorian Gray. I am bound to state",85
431,that she never told me he was good-looking. Women have no appreciation,85
432,"of good looks; at least, good women have not. She said that he was very",85
433,earnest and had a beautiful nature. I at once pictured to myself a,85
434,"creature with spectacles and lank hair, horribly freckled, and tramping",85
435,about on huge feet. I wish I had known it was your friend.”,85
436,"“I am very glad you didn’t, Harry.”",86
437,“Why?”,87
438,“I don’t want you to meet him.”,88
439,“You don’t want me to meet him?”,89
440,“No.”,90
441,"“Mr. Dorian Gray is in the studio, sir,” said the butler, coming into",91
442,the garden.,91
443,"“You must introduce me now,” cried Lord Henry, laughing.",92
444,"The painter turned to his servant, who stood blinking in the sunlight.",93
445,"“Ask Mr. Gray to wait, Parker: I shall be in in a few moments.” The man",93
446,bowed and went up the walk.,93
447,"Then he looked at Lord Henry. “Dorian Gray is my dearest friend,” he",94
448,said. “He has a simple and a beautiful nature. Your aunt was quite,94
449,right in what she said of him. Don’t spoil him. Don’t try to influence,94
450,"him. Your influence would be bad. The world is wide, and has many",94
451,marvellous people in it. Don’t take away from me the one person who,94
452,gives to my art whatever charm it possesses: my life as an artist,94
453,"depends on him. Mind, Harry, I trust you.” He spoke very slowly, and",94
454,the words seemed wrung out of him almost against his will.,94
455,"“What nonsense you talk!” said Lord Henry, smiling, and taking Hallward",95
456,"by the arm, he almost led him into the house.",95
457,CHAPTER II.,99
458,"As they entered they saw Dorian Gray. He was seated at the piano, with",101
459,"his back to them, turning over the pages of a volume of Schumann’s",101
460,"“Forest Scenes.” “You must lend me these, Basil,” he cried. “I want to",101
461,learn them. They are perfectly charming.”,101
462,"“That entirely depends on how you sit to-day, Dorian.”",102
463,"“Oh, I am tired of sitting, and I don’t want a life-sized portrait of",103
464,"myself,” answered the lad, swinging round on the music-stool in a",103
465,"wilful, petulant manner. When he caught sight of Lord Henry, a faint",103
466,"blush coloured his cheeks for a moment, and he started up. “I beg your",103
467,"pardon, Basil, but I didn’t know you had any one with you.”",103
468,"“This is Lord Henry Wotton, Dorian, an old Oxford friend of mine. I",104
469,"have just been telling him what a capital sitter you were, and now you",104
470,have spoiled everything.”,104
471,"“You have not spoiled my pleasure in meeting you, Mr. Gray,” said Lord",105
472,"Henry, stepping forward and extending his hand. “My aunt has often",105
473,"spoken to me about you. You are one of her favourites, and, I am",105
474,"afraid, one of her victims also.”",105
475,"“I am in Lady Agatha’s black books at present,” answered Dorian with a",106
476,funny look of penitence. “I promised to go to a club in Whitechapel,106
477,"with her last Tuesday, and I really forgot all about it. We were to",106
478,"have played a duet together—three duets, I believe. I don’t know what",106
479,she will say to me. I am far too frightened to call.”,106
480,"“Oh, I will make your peace with my aunt. She is quite devoted to you.",107
481,And I don’t think it really matters about your not being there. The,107
482,audience probably thought it was a duet. When Aunt Agatha sits down to,107
483,"the piano, she makes quite enough noise for two people.”",107
484,"“That is very horrid to her, and not very nice to me,” answered Dorian,",108
485,laughing.,108
486,"Lord Henry looked at him. Yes, he was certainly wonderfully handsome,",109
487,"with his finely curved scarlet lips, his frank blue eyes, his crisp",109
488,gold hair. There was something in his face that made one trust him at,109
489,"once. All the candour of youth was there, as well as all youth’s",109
490,passionate purity. One felt that he had kept himself unspotted from the,109
491,world. No wonder Basil Hallward worshipped him.,109
492,"“You are too charming to go in for philanthropy, Mr. Gray—far too",110
493,charming.” And Lord Henry flung himself down on the divan and opened,110
494,his cigarette-case.,110
495,The painter had been busy mixing his colours and getting his brushes,111
496,"ready. He was looking worried, and when he heard Lord Henry’s last",111
497,"remark, he glanced at him, hesitated for a moment, and then said,",111
498,"“Harry, I want to finish this picture to-day. Would you think it",111
499,awfully rude of me if I asked you to go away?”,111
500,"Lord Henry smiled and looked at Dorian Gray. “Am I to go, Mr. Gray?” he",112
501,asked.,112
502,"“Oh, please don’t, Lord Henry. I see that Basil is in one of his sulky",113
503,"moods, and I can’t bear him when he sulks. Besides, I want you to tell",113
504,me why I should not go in for philanthropy.”,113
505,"“I don’t know that I shall tell you that, Mr. Gray. It is so tedious a",114
506,subject that one would have to talk seriously about it. But I certainly,114
507,"shall not run away, now that you have asked me to stop. You don’t",114
508,"really mind, Basil, do you? You have often told me that you liked your",114
509,sitters to have some one to chat to.”,114
510,"Hallward bit his lip. “If Dorian wishes it, of course you must stay.",115
511,"Dorian’s whims are laws to everybody, except himself.”",115
512,"Lord Henry took up his hat and gloves. “You are very pressing, Basil,",116
513,but I am afraid I must go. I have promised to meet a man at the,116
514,"Orleans. Good-bye, Mr. Gray. Come and see me some afternoon in Curzon",116
515,Street. I am nearly always at home at five o’clock. Write to me when,116
516,you are coming. I should be sorry to miss you.”,116
517,"“Basil,” cried Dorian Gray, “if Lord Henry Wotton goes, I shall go,",117
518,"too. You never open your lips while you are painting, and it is",117
519,horribly dull standing on a platform and trying to look pleasant. Ask,117
520,him to stay. I insist upon it.”,117
521,"“Stay, Harry, to oblige Dorian, and to oblige me,” said Hallward,",118
522,"gazing intently at his picture. “It is quite true, I never talk when I",118
523,"am working, and never listen either, and it must be dreadfully tedious",118
524,for my unfortunate sitters. I beg you to stay.”,118
525,“But what about my man at the Orleans?”,119
526,The painter laughed. “I don’t think there will be any difficulty about,120
527,"that. Sit down again, Harry. And now, Dorian, get up on the platform,",120
