,lines,paragraph
49,"possesses over all the others. The plot, though not elaborate, is almost",5
50,"regular enough for Fielding; hardly a character, hardly an incident",5
51,could be retrenched without loss to the story. The elopement of Lydia,5
52,"and Wickham is not, like that of Crawford and Mrs. Rushworth, a_ coup de",5
53,théâtre; _it connects itself in the strictest way with the course of the,5
54,"story earlier, and brings about the denouement with complete propriety.",5
55,"All the minor passages--the loves of Jane and Bingley, the advent of Mr.",5
56,"Collins, the visit to Hunsford, the Derbyshire tour--fit in after the",5
57,"same unostentatious, but masterly fashion. There is no attempt at the",5
58,"hide-and-seek, in-and-out business, which in the transactions between",5
59,Frank Churchill and Jane Fairfax contributes no doubt a good deal to the,5
60,"intrigue of_ Emma, _but contributes it in a fashion which I do not think",5
61,the best feature of that otherwise admirable book. Although Miss Austen,5
62,"always liked something of the misunderstanding kind, which afforded her",5
63,opportunities for the display of the peculiar and incomparable talent to,5
64,"be noticed presently, she has been satisfied here with the perfectly",5
65,natural occasions provided by the false account of Darcy’s conduct given,5
66,"by Wickham, and by the awkwardness (arising with equal naturalness) from",5
67,the gradual transformation of Elizabeth’s own feelings from positive,5
68,aversion to actual love. I do not know whether the all-grasping hand of,5
69,the playwright has ever been laid upon_ Pride and Prejudice; _and I dare,5
70,"say that, if it were, the situations would prove not startling or",5
71,"garish enough for the footlights, the character-scheme too subtle and",5
72,"delicate for pit and gallery. But if the attempt were made, it would",5
73,"certainly not be hampered by any of those loosenesses of construction,",5
74,"which, sometimes disguised by the conveniences of which the novelist can",5
75,"avail himself, appear at once on the stage._",5
76,"_I think, however, though the thought will doubtless seem heretical to",6
77,"more than one school of critics, that construction is not the highest",6
78,"merit, the choicest gift, of the novelist. It sets off his other gifts",6
79,and graces most advantageously to the critical eye; and the want of it,6
80,"will sometimes mar those graces--appreciably, though not quite",6
81,consciously--to eyes by no means ultra-critical. But a very badly-built,6
82,"novel which excelled in pathetic or humorous character, or which",6
83,displayed consummate command of dialogue--perhaps the rarest of all,6
84,faculties--would be an infinitely better thing than a faultless plot,6
85,acted and told by puppets with pebbles in their mouths. And despite the,6
86,"ability which Miss Austen has shown in working out the story, I for one",6
87,should put_ Pride and Prejudice _far lower if it did not contain what,6
88,seem to me the very masterpieces of Miss Austen’s humour and of her,6
89,faculty of character-creation--masterpieces who may indeed admit John,6
90,"Thorpe, the Eltons, Mrs. Norris, and one or two others to their company,",6
91,"but who, in one instance certainly, and perhaps in others, are still",6
92,superior to them._,6
93,_The characteristics of Miss Austen’s humour are so subtle and delicate,7
94,"that they are, perhaps, at all times easier to apprehend than to",7
95,"express, and at any particular time likely to be differently",7
96,apprehended by different persons. To me this humour seems to possess a,7
97,"greater affinity, on the whole, to that of Addison than to any other of",7
98,the numerous species of this great British genus. The differences of,7
99,"scheme, of time, of subject, of literary convention, are, of course,",7
100,"obvious enough; the difference of sex does not, perhaps, count for much,",7
101,"for there was a distinctly feminine element in “Mr. Spectator,” and in",7
102,"Jane Austen’s genius there was, though nothing mannish, much that was",7
103,masculine. But the likeness of quality consists in a great number of,7
104,"common subdivisions of quality--demureness, extreme minuteness of touch,",7
105,avoidance of loud tones and glaring effects. Also there is in both a,7
106,certain not inhuman or unamiable cruelty. It is the custom with those,7
107,who judge grossly to contrast the good nature of Addison with the,7
108,"savagery of Swift, the mildness of Miss Austen with the boisterousness",7
109,"of Fielding and Smollett, even with the ferocious practical jokes that",7
110,"her immediate predecessor, Miss Burney, allowed without very much",7
111,"protest. Yet, both in Mr. Addison and in Miss Austen there is, though a",7
112,"restrained and well-mannered, an insatiable and ruthless delight in",7
113,"roasting and cutting up a fool. A man in the early eighteenth century,",7
114,"of course, could push this taste further than a lady in the early",7
115,"nineteenth; and no doubt Miss Austen’s principles, as well as her heart,",7
116,would have shrunk from such things as the letter from the unfortunate,7
117,"husband in the_ Spectator, _who describes, with all the gusto and all the",7
118,"innocence in the world, how his wife and his friend induce him to play",7
119,at blind-man’s-buff. But another_ Spectator _letter--that of the damsel,7
120,"of fourteen who wishes to marry Mr. Shapely, and assures her selected",7
121,Mentor that “he admires your_ Spectators _mightily”--might have been,7
122,written by a rather more ladylike and intelligent Lydia Bennet in the,7
123,"days of Lydia’s great-grandmother; while, on the other hand, some (I",7
124,think unreasonably) have found “cynicism” in touches of Miss Austen’s,7
125,"own, such as her satire of Mrs. Musgrove’s self-deceiving regrets over",7
126,her son. But this word “cynical” is one of the most misused in the,7
127,"English language, especially when, by a glaring and gratuitous",7
128,"falsification of its original sense, it is applied, not to rough and",7
129,"snarling invective, but to gentle and oblique satire. If cynicism means",7
130,"the perception of “the other side,” the sense of “the accepted hells",7
131,"beneath,” the consciousness that motives are nearly always mixed, and",7
132,"that to seem is not identical with to be--if this be cynicism, then",7
133,"every man and woman who is not a fool, who does not care to live in a",7
134,"fool’s paradise, who has knowledge of nature and the world and life, is",7
135,a cynic. And in that sense Miss Austen certainly was one. She may even,7
136,"have been one in the further sense that, like her own Mr. Bennet, she",7
137,"took an epicurean delight in dissecting, in displaying, in setting at",7
138,"work her fools and her mean persons. I think she did take this delight,",7
139,"and I do not think at all the worse of her for it as a woman, while she",7
140,was immensely the better for it as an artist._,7
141,"_In respect of her art generally, Mr. Goldwin Smith has truly observed",8
142,"that “metaphor has been exhausted in depicting the perfection of it,",8
143,combined with the narrowness of her field;” and he has justly added that,8
144,we need not go beyond her own comparison to the art of a miniature,8
145,painter. To make this latter observation quite exact we must not use the,8
146,"term miniature in its restricted sense, and must think rather of Memling",8
147,"at one end of the history of painting and Meissonier at the other, than",8
148,of Cosway or any of his kind. And I am not so certain that I should,8
149,myself use the word “narrow” in connection with her. If her world is a,8
150,"microcosm, the cosmic quality of it is at least as eminent as the",8
151,littleness. She does not touch what she did not feel herself called to,8
152,paint; I am not so sure that she could not have painted what she did not,8
153,feel herself called to touch. It is at least remarkable that in two very,8
154,"short periods of writing--one of about three years, and another of not",8
155,"much more than five--she executed six capital works, and has not left a",8
156,single failure. It is possible that the romantic paste in her,8
157,composition was defective: we must always remember that hardly,8
158,anybody born in her decade--that of the eighteenth-century,8
159,seventies--independently exhibited the full romantic quality. Even Scott,8
160,"required hill and mountain and ballad, even Coleridge metaphysics and",8
161,German to enable them to chip the classical shell. Miss Austen was an,8
162,"English girl, brought up in a country retirement, at the time when",8
163,ladies went back into the house if there was a white frost which might,8
164,"pierce their kid shoes, when a sudden cold was the subject of the",8
165,"gravest fears, when their studies, their ways, their conduct were",8
166,subject to all those fantastic limits and restrictions against which,8
167,Mary Wollstonecraft protested with better general sense than particular,8
168,"taste or judgment. Miss Austen, too, drew back when the white frost",8
169,touched her shoes; but I think she would have made a pretty good journey,8
170,even in a black one._,8
171,"_For if her knowledge was not very extended, she knew two things which",9
172,"only genius knows. The one was humanity, and the other was art. On the",9
173,"first head she could not make a mistake; her men, though limited, are",9
174,"true, and her women are, in the old sense, “absolute.” As to art, if she",9
175,"has never tried idealism, her realism is real to a degree which makes",9
176,the false realism of our own day look merely dead-alive. Take almost any,9
177,"Frenchman, except the late M. de Maupassant, and watch him laboriously",9
178,piling up strokes in the hope of giving a complete impression. You get,9
179,"none; you are lucky if, discarding two-thirds of what he gives, you can",9
180,shape a real impression out of the rest. But with Miss Austen the,9
181,"myriad, trivial, unforced strokes build up the picture like magic.",9
182,Nothing is false; nothing is superfluous. When (to take the present book,9
183,only) Mr. Collins changed his mind from Jane to Elizabeth “while Mrs.,9
184,Bennet was stirring the fire” (and we know_ how _Mrs. Bennet would have,9
185,"stirred the fire), when Mr. Darcy “brought his coffee-cup back_",9
186,"himself,” _the touch in each case is like that of Swift--“taller by the",9
187,breadth of my nail”--which impressed the half-reluctant Thackeray with,9
188,"just and outspoken admiration. Indeed, fantastic as it may seem, I",9
189,"should put Miss Austen as near to Swift in some ways, as I have put her",9
190,to Addison in others._,9
191,_This Swiftian quality appears in the present novel as it appears,10
192,"nowhere else in the character of the immortal, the ineffable Mr.",10
193,Collins. Mr. Collins is really_ great; _far greater than anything Addison,10
194,"ever did, almost great enough for Fielding or for Swift himself. It has",10
195,"been said that no one ever was like him. But in the first place,_ he",10
196,"_was like him; he is there--alive, imperishable, more real than hundreds",10
197,"of prime ministers and archbishops, of “metals, semi-metals, and",10
198,"distinguished philosophers.” In the second place, it is rash, I think,",10
199,to conclude that an actual Mr. Collins was impossible or non-existent at,10
200,the end of the eighteenth century. It is very interesting that we,10
201,"possess, in this same gallery, what may be called a spoiled first",10
202,"draught, or an unsuccessful study of him, in John Dashwood. The",10
203,"formality, the under-breeding, the meanness, are there; but the portrait",10
204,"is only half alive, and is felt to be even a little unnatural. Mr.",10
205,"Collins is perfectly natural, and perfectly alive. In fact, for all the",10
206,"“miniature,” there is something gigantic in the way in which a certain",10
207,"side, and more than one, of humanity, and especially eighteenth-century",10
208,"humanity, its Philistinism, its well-meaning but hide-bound morality,",10
209,"its formal pettiness, its grovelling respect for rank, its materialism,",10
210,"its selfishness, receives exhibition. I will not admit that one speech",10
211,or one action of this inestimable man is incapable of being reconciled,10
212,"with reality, and I should not wonder if many of these words and actions",10
213,are historically true._,10
214,_But the greatness of Mr. Collins could not have been so satisfactorily,11
215,exhibited if his creatress had not adjusted so artfully to him the,11
216,"figures of Mr. Bennet and of Lady Catherine de Bourgh. The latter, like",11
217,"Mr. Collins himself, has been charged with exaggeration. There is,",11
218,"perhaps, a very faint shade of colour for the charge; but it seems to me",11
219,very faint indeed. Even now I do not think that it would be impossible,11
220,"to find persons, especially female persons, not necessarily of noble",11
221,"birth, as overbearing, as self-centred, as neglectful of good manners,",11
222,"as Lady Catherine. A hundred years ago, an earl’s daughter, the Lady",11
223,"Powerful (if not exactly Bountiful) of an out-of-the-way country parish,",11
224,"rich, long out of marital authority, and so forth, had opportunities of",11
225,developing these agreeable characteristics which seldom present,11
226,"themselves now. As for Mr. Bennet, Miss Austen, and Mr. Darcy, and even",11
227,"Miss Elizabeth herself, were, I am inclined to think, rather hard on him",11
228,"for the “impropriety” of his conduct. His wife was evidently, and must",11
229,"always have been, a quite irreclaimable fool; and unless he had shot her",11
230,or himself there was no way out of it for a man of sense and spirit but,11
231,"the ironic. From no other point of view is he open to any reproach,",11
232,except for an excusable and not unnatural helplessness at the crisis of,11
233,"the elopement, and his utterances are the most acutely delightful in the",11
234,"consciously humorous kind--in the kind that we laugh with, not at--that",11
235,even Miss Austen has put into the mouth of any of her characters. It is,11
236,"difficult to know whether he is most agreeable when talking to his wife,",11
237,or when putting Mr. Collins through his paces; but the general sense of,11
238,the world has probably been right in preferring to the first rank his,11
239,"consolation to the former when she maunders over the entail, “My dear,",11
240,do not give way to such gloomy thoughts. Let us hope for better things.,11
241,Let us flatter ourselves that_ I _may be the survivor;” and his inquiry,11
242,to his colossal cousin as to the compliments which Mr. Collins has just,11
243,"related as made by himself to Lady Catherine, “May I ask whether these",11
244,"pleasing attentions proceed from the impulse of the moment, or are the",11
245,result of previous study?” These are the things which give Miss Austen’s,11
246,"readers the pleasant shocks, the delightful thrills, which are felt by",11
247,"the readers of Swift, of Fielding, and we may here add, of Thackeray, as",11
248,they are felt by the readers of no other English author of fiction,11
249,outside of these four._,11
250,_The goodness of the minor characters in_ Pride and Prejudice _has been,12
251,"already alluded to, and it makes a detailed dwelling on their beauties",12
252,"difficult in any space, and impossible in this. Mrs. Bennet we have",12
253,"glanced at, and it is not easy to say whether she is more exquisitely",12
254,amusing or more horribly true. Much the same may be said of Kitty and,12
255,"Lydia; but it is not every author, even of genius, who would have",12
256,differentiated with such unerring skill the effects of folly and,12
257,vulgarity of intellect and disposition working upon the common,12
258,"weaknesses of woman at such different ages. With Mary, Miss Austen has",12
259,"taken rather less pains, though she has been even more unkind to her;",12
260,"not merely in the text, but, as we learn from those interesting",12
261,"traditional appendices which Mr. Austen Leigh has given us, in dooming",12
262,her privately to marry “one of Mr. Philips’s clerks.” The habits of,12
263,"first copying and then retailing moral sentiments, of playing and",12
264,"singing too long in public, are, no doubt, grievous and criminal; but",12
265,perhaps poor Mary was rather the scapegoat of the sins of blue stockings,12
266,in that Fordyce-belectured generation. It is at any rate difficult not,12
267,to extend to her a share of the respect and affection (affection and,12
268,"respect of a peculiar kind; doubtless), with which one regards Mr.",12
269,"Collins, when she draws the moral of Lydia’s fall. I sometimes wish",12
270,that the exigencies of the story had permitted Miss Austen to unite,12
271,"these personages, and thus at once achieve a notable mating and soothe",12
272,poor Mrs. Bennet’s anguish over the entail._,12
273,"_The Bingleys and the Gardiners and the Lucases, Miss Darcy and Miss de",13
274,"Bourgh, Jane, Wickham, and the rest, must pass without special comment,",13
275,"further than the remark that Charlotte Lucas (her egregious papa, though",13
276,"delightful, is just a little on the thither side of the line between",13
277,"comedy and farce) is a wonderfully clever study in drab of one kind, and",13
278,that Wickham (though something of Miss Austen’s hesitation of touch in,13
279,dealing with young men appears) is a not much less notable sketch in,13
280,"drab of another. Only genius could have made Charlotte what she is, yet",13
281,"not disagreeable; Wickham what he is, without investing him either with",13
282,a cheap Don Juanish attractiveness or a disgusting rascality. But the,13
283,hero and the heroine are not tints to be dismissed._,13
284,_Darcy has always seemed to me by far the best and most interesting of,14
285,"Miss Austen’s heroes; the only possible competitor being Henry Tilney,",14
286,whose part is so slight and simple that it hardly enters into,14
287,"comparison. It has sometimes, I believe, been urged that his pride is",14
288,"unnatural at first in its expression and later in its yielding, while",14
289,his falling in love at all is not extremely probable. Here again I,14
290,cannot go with the objectors. Darcy’s own account of the way in which,14
291,"his pride had been pampered, is perfectly rational and sufficient; and",14
292,"nothing could be, psychologically speaking, a_ causa verior _for its",14
293,sudden restoration to healthy conditions than the shock of Elizabeth’s,14
294,scornful refusal acting on a nature_ ex hypothesi _generous. Nothing in,14
295,even our author is finer and more delicately touched than the change of,14
296,his demeanour at the sudden meeting in the grounds of Pemberley. Had he,14
297,"been a bad prig or a bad coxcomb, he might have been still smarting",14
298,"under his rejection, or suspicious that the girl had come",14
299,husband-hunting. His being neither is exactly consistent with the,14
300,"probable feelings of a man spoilt in the common sense, but not really",14
301,"injured in disposition, and thoroughly in love. As for his being in",14
302,"love, Elizabeth has given as just an exposition of the causes of that",14
303,"phenomenon as Darcy has of the conditions of his unregenerate state,",14
304,only she has of course not counted in what was due to her own personal,14
305,charm._,14
306,"_The secret of that charm many men and not a few women, from Miss Austen",15
307,"herself downwards, have felt, and like most charms it is a thing rather",15
308,to be felt than to be explained. Elizabeth of course belongs to the_,15
309,allegro _or_ allegra _division of the army of Venus. Miss Austen was,15
310,always provokingly chary of description in regard to her beauties; and,15
311,"except the fine eyes, and a hint or two that she had at any rate",15
312,"sometimes a bright complexion, and was not very tall, we hear nothing",15
313,about her looks. But her chief difference from other heroines of the,15
314,lively type seems to lie first in her being distinctly clever--almost,15
315,"strong-minded, in the better sense of that objectionable word--and",15
316,secondly in her being entirely destitute of ill-nature for all her,15
317,propensity to tease and the sharpness of her tongue. Elizabeth can give,15
318,at least as good as she gets when she is attacked; but she never,15
319,"“scratches,” and she never attacks first. Some of the merest",15
320,obsoletenesses of phrase and manner give one or two of her early,15
321,"speeches a slight pertness, but that is nothing, and when she comes to",15
322,"serious business, as in the great proposal scene with Darcy (which is,",15
323,"as it should be, the climax of the interest of the book), and in the",15
324,"final ladies’ battle with Lady Catherine, she is unexceptionable. Then",15
325,too she is a perfectly natural girl. She does not disguise from herself,15
326,or anybody that she resents Darcy’s first ill-mannered personality with,15
327,"as personal a feeling. (By the way, the reproach that the ill-manners of",15
328,this speech are overdone is certainly unjust; for things of the same,15
329,"kind, expressed no doubt less stiltedly but more coarsely, might have",15
330,been heard in more than one ball-room during this very year from persons,15
331,who ought to have been no worse bred than Darcy.) And she lets the,15
332,injury done to Jane and the contempt shown to the rest of her family,15
333,aggravate this resentment in the healthiest way in the world._,15
334,"_Still, all this does not explain her charm, which, taking beauty as a",16
335,"common form of all heroines, may perhaps consist in the addition to her",16
336,"playfulness, her wit, her affectionate and natural disposition, of a",16
337,certain fearlessness very uncommon in heroines of her type and age.,16
338,Nearly all of them would have been in speechless awe of the magnificent,16
339,Darcy; nearly all of them would have palpitated and fluttered at the,16
340,"idea of proposals, even naughty ones, from the fascinating Wickham.",16
341,"Elizabeth, with nothing offensive, nothing_ viraginous, _nothing of the",16
342,"“New Woman” about her, has by nature what the best modern (not “new”)",16
343,"women have by education and experience, a perfect freedom from the idea",16
344,"that all men may bully her if they choose, and that most will away with",16
345,"her if they can. Though not in the least “impudent and mannish grown,”",16
346,"she has no mere sensibility, no nasty niceness about her. The form of",16
347,passion common and likely to seem natural in Miss Austen’s day was so,16
348,"invariably connected with the display of one or the other, or both of",16
349,"these qualities, that she has not made Elizabeth outwardly passionate.",16
350,"But I, at least, have not the slightest doubt that she would have",16
351,"married Darcy just as willingly without Pemberley as with it, and",16
352,anybody who can read between lines will not find the lovers’,16
353,conversations in the final chapters so frigid as they might have looked,16
354,"to the Della Cruscans of their own day, and perhaps do look to the Della",16
355,Cruscans of this._,16
356,"_And, after all, what is the good of seeking for the reason of",17
357,charm?--it is there. There were better sense in the sad mechanic,17
358,exercise of determining the reason of its absence where it is not. In,17
359,the novels of the last hundred years there are vast numbers of young,17
360,ladies with whom it might be a pleasure to fall in love; there are at,17
361,"least five with whom, as it seems to me, no man of taste and spirit can",17
362,"help doing so. Their names are, in chronological order, Elizabeth",17
363,"Bennet, Diana Vernon, Argemone Lavington, Beatrix Esmond, and Barbara",17
364,Grant. I should have been most in love with Beatrix and Argemone; I,17
365,"should, I think, for mere occasional companionship, have preferred Diana",17
366,"and Barbara. But to live with and to marry, I do not know that any one",17
367,of the four can come into competition with Elizabeth._,17
368,_GEORGE SAINTSBURY._,18
369,Chapter I.],19
370,"It is a truth universally acknowledged, that a single man in possession",21
371,of a good fortune must be in want of a wife.,21
372,However little known the feelings or views of such a man may be on his,22
373,"first entering a neighbourhood, this truth is so well fixed in the minds",22
374,"of the surrounding families, that he is considered as the rightful",22
375,property of some one or other of their daughters.,22
376,"“My dear Mr. Bennet,” said his lady to him one day, “have you heard that",23
377,Netherfield Park is let at last?”,23
378,Mr. Bennet replied that he had not.,24
379,"“But it is,” returned she; “for Mrs. Long has just been here, and she",25
380,told me all about it.”,25
381,Mr. Bennet made no answer.,26
382,"“Do not you want to know who has taken it?” cried his wife, impatiently.",27
383,"“_You_ want to tell me, and I have no objection to hearing it.”",28
384,[Illustration:,29
385,“He came down to see the place”,30
386,[_Copyright 1894 by George Allen._]],31
387,This was invitation enough.,32
388,"“Why, my dear, you must know, Mrs. Long says that Netherfield is taken",33
389,by a young man of large fortune from the north of England; that he came,33
390,"down on Monday in a chaise and four to see the place, and was so much",33
391,delighted with it that he agreed with Mr. Morris immediately; that he is,33
392,"to take possession before Michaelmas, and some of his servants are to be",33
393,in the house by the end of next week.”,33
394,“What is his name?”,34
395,“Bingley.”,35
396,“Is he married or single?”,36
397,"“Oh, single, my dear, to be sure! A single man of large fortune; four or",37
398,five thousand a year. What a fine thing for our girls!”,37
399,“How so? how can it affect them?”,38
400,"“My dear Mr. Bennet,” replied his wife, “how can you be so tiresome? You",39
401,must know that I am thinking of his marrying one of them.”,39
402,“Is that his design in settling here?”,40
403,"“Design? Nonsense, how can you talk so! But it is very likely that he",41
404,"_may_ fall in love with one of them, and therefore you must visit him as",41
405,soon as he comes.”,41
406,“I see no occasion for that. You and the girls may go--or you may send,42
407,"them by themselves, which perhaps will be still better; for as you are",42
408,"as handsome as any of them, Mr. Bingley might like you the best of the",42
409,party.”,42
410,"“My dear, you flatter me. I certainly _have_ had my share of beauty, but",43
411,I do not pretend to be anything extraordinary now. When a woman has five,43
412,"grown-up daughters, she ought to give over thinking of her own beauty.”",43
413,"“In such cases, a woman has not often much beauty to think of.”",44
414,"“But, my dear, you must indeed go and see Mr. Bingley when he comes into",45
415,the neighbourhood.”,45
416,"“It is more than I engage for, I assure you.”",46
417,“But consider your daughters. Only think what an establishment it would,47
418,"be for one of them. Sir William and Lady Lucas are determined to go,",47
419,"merely on that account; for in general, you know, they visit no new",47
420,"comers. Indeed you must go, for it will be impossible for _us_ to visit",47
421,"him, if you do not.”",47
422,"“You are over scrupulous, surely. I dare say Mr. Bingley will be very",48
423,glad to see you; and I will send a few lines by you to assure him of my,48
424,hearty consent to his marrying whichever he chooses of the girls--though,48
425,I must throw in a good word for my little Lizzy.”,48
426,“I desire you will do no such thing. Lizzy is not a bit better than the,49
427,"others: and I am sure she is not half so handsome as Jane, nor half so",49
428,good-humoured as Lydia. But you are always giving _her_ the preference.”,49
429,"“They have none of them much to recommend them,” replied he: “they are",50
430,all silly and ignorant like other girls; but Lizzy has something more of,50
431,quickness than her sisters.”,50
432,"“Mr. Bennet, how can you abuse your own children in such a way? You take",51
433,delight in vexing me. You have no compassion on my poor nerves.”,51
434,"“You mistake me, my dear. I have a high respect for your nerves. They",52
435,are my old friends. I have heard you mention them with consideration,52
436,these twenty years at least.”,52
437,"“Ah, you do not know what I suffer.”",53
438,"“But I hope you will get over it, and live to see many young men of four",54
439,thousand a year come into the neighbourhood.”,54
440,"“It will be no use to us, if twenty such should come, since you will not",55
441,visit them.”,55
442,"“Depend upon it, my dear, that when there are twenty, I will visit them",56
443,all.”,56
444,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour,",57
445,"reserve, and caprice, that the experience of three-and-twenty years had",57
446,been insufficient to make his wife understand his character. _Her_ mind,57
447,"was less difficult to develope. She was a woman of mean understanding,",57
448,"little information, and uncertain temper. When she was discontented, she",57
449,fancied herself nervous. The business of her life was to get her,57
450,daughters married: its solace was visiting and news.,57
451,[Illustration: M^{r.} & M^{rs.} Bennet,58
452,[_Copyright 1894 by George Allen._]],59
453,[Illustration:,63
454,“I hope Mr. Bingley will like it”,64
455,[_Copyright 1894 by George Allen._]],65
456,CHAPTER II.,69
457,[Illustration],71
458,Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He,72
459,"had always intended to visit him, though to the last always assuring his",72
460,wife that he should not go; and till the evening after the visit was,72
461,paid she had no knowledge of it. It was then disclosed in the following,72
462,"manner. Observing his second daughter employed in trimming a hat, he",72
463,"suddenly addressed her with,--",72
464,"“I hope Mr. Bingley will like it, Lizzy.”",73
465,"“We are not in a way to know _what_ Mr. Bingley likes,” said her mother,",74
466,"resentfully, “since we are not to visit.”",74
467,"“But you forget, mamma,” said Elizabeth, “that we shall meet him at the",75
468,"assemblies, and that Mrs. Long has promised to introduce him.”",75
469,“I do not believe Mrs. Long will do any such thing. She has two nieces,76
470,"of her own. She is a selfish, hypocritical woman, and I have no opinion",76
471,of her.”,76
472,"“No more have I,” said Mr. Bennet; “and I am glad to find that you do",77
473,not depend on her serving you.”,77
474,"Mrs. Bennet deigned not to make any reply; but, unable to contain",78
475,"herself, began scolding one of her daughters.",78
476,"“Don’t keep coughing so, Kitty, for heaven’s sake! Have a little",79
477,compassion on my nerves. You tear them to pieces.”,79
478,"“Kitty has no discretion in her coughs,” said her father; “she times",80
479,them ill.”,80
480,"“I do not cough for my own amusement,” replied Kitty, fretfully. “When",81
481,"is your next ball to be, Lizzy?”",81
482,“To-morrow fortnight.”,82
483,"“Ay, so it is,” cried her mother, “and Mrs. Long does not come back till",83
484,"the day before; so, it will be impossible for her to introduce him, for",83
485,she will not know him herself.”,83
486,"“Then, my dear, you may have the advantage of your friend, and introduce",84
487,Mr. Bingley to _her_.”,84
488,"“Impossible, Mr. Bennet, impossible, when I am not acquainted with him",85
489,myself; how can you be so teasing?”,85
490,“I honour your circumspection. A fortnight’s acquaintance is certainly,86
491,very little. One cannot know what a man really is by the end of a,86
492,"fortnight. But if _we_ do not venture, somebody else will; and after",86
493,"all, Mrs. Long and her nieces must stand their chance; and, therefore,",86
494,"as she will think it an act of kindness, if you decline the office, I",86
495,will take it on myself.”,86
496,"The girls stared at their father. Mrs. Bennet said only, “Nonsense,",87
497,nonsense!”,87
498,“What can be the meaning of that emphatic exclamation?” cried he. “Do,88
499,"you consider the forms of introduction, and the stress that is laid on",88
500,"them, as nonsense? I cannot quite agree with you _there_. What say you,",88
501,"Mary? For you are a young lady of deep reflection, I know, and read",88
502,"great books, and make extracts.”",88
503,"Mary wished to say something very sensible, but knew not how.",89
504,"“While Mary is adjusting her ideas,” he continued, “let us return to Mr.",90
505,Bingley.”,90
506,"“I am sick of Mr. Bingley,” cried his wife.",91
507,“I am sorry to hear _that_; but why did you not tell me so before? If I,92
508,"had known as much this morning, I certainly would not have called on",92
509,"him. It is very unlucky; but as I have actually paid the visit, we",92
510,cannot escape the acquaintance now.”,92
511,The astonishment of the ladies was just what he wished--that of Mrs.,93
512,Bennet perhaps surpassing the rest; though when the first tumult of joy,93
513,"was over, she began to declare that it was what she had expected all the",93
514,while.,93
515,"“How good it was in you, my dear Mr. Bennet! But I knew I should",94
516,persuade you at last. I was sure you loved your girls too well to,94
517,"neglect such an acquaintance. Well, how pleased I am! And it is such a",94
518,"good joke, too, that you should have gone this morning, and never said a",94
519,word about it till now.”,94
520,"“Now, Kitty, you may cough as much as you choose,” said Mr. Bennet; and,",95
521,"as he spoke, he left the room, fatigued with the raptures of his wife.",95
522,"“What an excellent father you have, girls,” said she, when the door was",96
523,shut. “I do not know how you will ever make him amends for his kindness;,96
