,sentences,paragraph
23,"These volumes were my studyday and night, and my familiarity with them increased that regret whichI had felt, as a child, on learning that my father’s dying injunctionhad forbidden my uncle to allow me to embark in a seafaring life.",5
24,"These visions faded when I perused, for the first time, those poetswhose effusions entranced my soul and lifted it to heaven.",6
25,I alsobecame a poet and for one year lived in a paradise of my own creation;I imagined that I also might obtain a niche in the temple where thenames of Homer and Shakespeare are consecrated.,6
26,You are wellacquainted with my failure and how heavily I bore the disappointment.,6
27,"But just at that time I inherited the fortune of my cousin, and mythoughts were turned into the channel of their earlier bent.",6
28,Six years have passed since I resolved on my present undertaking.,7
29,"Ican, even now, remember the hour from which I dedicated myself to thisgreat enterprise.",7
30,I commenced by inuring my body to hardship.,7
31,"Iaccompanied the whale-fishers on several expeditions to the North Sea;I voluntarily endured cold, famine, thirst, and want of sleep; I oftenworked harder than the common sailors during the day and devoted mynights to the study of mathematics, the theory of medicine, and thosebranches of physical science from which a naval adventurer might derivethe greatest practical advantage.",7
32,"Twice I actually hired myself as anunder-mate in a Greenland whaler, and acquitted myself to admiration.",7
33,"Imust own I felt a little proud when my captain offered me the seconddignity in the vessel and entreated me to remain with the greatestearnestness, so valuable did he consider my services.",7
34,"And now, dear Margaret, do I not deserve to accomplish some great purpose?",8
35,"My life might have been passed in ease and luxury, but I preferred glory toevery enticement that wealth placed in my path.",8
36,"Oh, that some encouragingvoice would answer in the affirmative!",8
37,"My courage and my resolution isfirm; but my hopes fluctuate, and my spirits are often depressed.",8
38,"I amabout to proceed on a long and difficult voyage, the emergencies of whichwill demand all my fortitude: I am required not only to raise the spiritsof others, but sometimes to sustain my own, when theirs are failing.",8
39,This is the most favourable period for travelling in Russia.,9
40,"They flyquickly over the snow in their sledges; the motion is pleasant, and, inmy opinion, far more agreeable than that of an English stagecoach.",9
41,"Thecold is not excessive, if you are wrapped in furs—a dress which I havealready adopted, for there is a great difference between walking thedeck and remaining seated motionless for hours, when no exerciseprevents the blood from actually freezing in your veins.",9
42,I have noambition to lose my life on the post-road between St. Petersburgh andArchangel.,9
43,"I shall depart for the latter town in a fortnight or three weeks; and myintention is to hire a ship there, which can easily be done by paying theinsurance for the owner, and to engage as many sailors as I think necessaryamong those who are accustomed to the whale-fishing.",10
44,I do not intend tosail until the month of June; and when shall I return?,10
45,"Ah, dear sister, howcan I answer this question?",10
46,"If I succeed, many, many months, perhaps years,will pass before you and I may meet.",10
47,"If I fail, you will see me again soon,or never.",10
48,"Farewell, my dear, excellent Margaret.",11
49,"Heaven shower down blessings on you,and save me, that I may again and again testify my gratitude for all yourlove and kindness.",11
50,"Your affectionate brother,",12
51,R. Walton,13
52,Letter 2,15
53,"_To Mrs. Saville, England._",16
54,"Archangel, 28th March, 17—.",17
55,"How slowly the time passes here, encompassed as I am by frost and snow!",18
56,Yet a second step is taken towards my enterprise.,18
57,I have hired avessel and am occupied in collecting my sailors; those whom I havealready engaged appear to be men on whom I can depend and are certainlypossessed of dauntless courage.,18
58,"But I have one want which I have never yet been able to satisfy, and theabsence of the object of which I now feel as a most severe evil, I have nofriend, Margaret: when I am glowing with the enthusiasm of success, therewill be none to participate my joy; if I am assailed by disappointment, noone will endeavour to sustain me in dejection.",19
59,"I shall commit my thoughtsto paper, it is true; but that is a poor medium for the communication offeeling.",19
60,"I desire the company of a man who could sympathise with me, whoseeyes would reply to mine.",19
61,"You may deem me romantic, my dear sister, but Ibitterly feel the want of a friend.",19
62,"I have no one near me, gentle yetcourageous, possessed of a cultivated as well as of a capacious mind, whosetastes are like my own, to approve or amend my plans.",19
63,How would such afriend repair the faults of your poor brother!,19
64,I am too ardent in executionand too impatient of difficulties.,19
65,But it is a still greater evil to methat I am self-educated: for the first fourteen years of my life I ran wildon a common and read nothing but our Uncle Thomas’ books of voyages.,19
66,At that age I became acquainted with the celebrated poets of our owncountry; but it was only when it had ceased to be in my power to derive itsmost important benefits from such a conviction that I perceived thenecessity of becoming acquainted with more languages than that of my nativecountry.,19
67,Now I am twenty-eight and am in reality more illiterate than manyschoolboys of fifteen.,19
68,"It is true that I have thought more and that mydaydreams are more extended and magnificent, but they want (as the painterscall it) _keeping;_ and I greatly need a friend who would have senseenough not to despise me as romantic, and affection enough for me toendeavour to regulate my mind.",19
69,"Well, these are useless complaints; I shall certainly find no friend on thewide ocean, nor even here in Archangel, among merchants and seamen.",20
70,"Yetsome feelings, unallied to the dross of human nature, beat even in theserugged bosoms.",20
71,"My lieutenant, for instance, is a man of wonderful courageand enterprise; he is madly desirous of glory, or rather, to word my phrasemore characteristically, of advancement in his profession.",20
72,"He is anEnglishman, and in the midst of national and professional prejudices,unsoftened by cultivation, retains some of the noblest endowments ofhumanity.",20
73,"I first became acquainted with him on board a whale vessel;finding that he was unemployed in this city, I easily engaged him to assistin my enterprise.",20
74,The master is a person of an excellent disposition and is remarkable in theship for his gentleness and the mildness of his discipline.,21
75,"Thiscircumstance, added to his well-known integrity and dauntless courage, mademe very desirous to engage him.",21
76,"A youth passed in solitude, my best yearsspent under your gentle and feminine fosterage, has so refined thegroundwork of my character that I cannot overcome an intense distaste tothe usual brutality exercised on board ship: I have never believed it to benecessary, and when I heard of a mariner equally noted for his kindlinessof heart and the respect and obedience paid to him by his crew, I feltmyself peculiarly fortunate in being able to secure his services.",21
77,"I heardof him first in rather a romantic manner, from a lady who owes to him thehappiness of her life.",21
78,"This, briefly, is his story.",21
79,"Some years ago he loveda young Russian lady of moderate fortune, and having amassed a considerablesum in prize-money, the father of the girl consented to the match.",21
80,"He sawhis mistress once before the destined ceremony; but she was bathed intears, and throwing herself at his feet, entreated him to spare her,confessing at the same time that she loved another, but that he was poor,and that her father would never consent to the union.",21
81,"My generous friendreassured the suppliant, and on being informed of the name of her lover,instantly abandoned his pursuit.",21
82,"He had already bought a farm with hismoney, on which he had designed to pass the remainder of his life; but hebestowed the whole on his rival, together with the remains of hisprize-money to purchase stock, and then himself solicited the youngwoman’s father to consent to her marriage with her lover.",21
83,"But the oldman decidedly refused, thinking himself bound in honour to my friend, who,when he found the father inexorable, quitted his country, nor returneduntil he heard that his former mistress was married according to herinclinations.",21
84,“What a noble fellow!” you will exclaim.,21
85,"He isso; but then he is wholly uneducated: he is as silent as a Turk, and a kindof ignorant carelessness attends him, which, while it renders his conductthe more astonishing, detracts from the interest and sympathy whichotherwise he would command.",21
86,"Yet do not suppose, because I complain a little or because I canconceive a consolation for my toils which I may never know, that I amwavering in my resolutions.",22
87,"Those are as fixed as fate, and my voyageis only now delayed until the weather shall permit my embarkation.",22
88,"Thewinter has been dreadfully severe, but the spring promises well, and itis considered as a remarkably early season, so that perhaps I may sailsooner than I expected.",22
89,I shall do nothing rashly: you know mesufficiently to confide in my prudence and considerateness whenever thesafety of others is committed to my care.,22
90,I cannot describe to you my sensations on the near prospect of myundertaking.,23
91,"It is impossible to communicate to you a conception ofthe trembling sensation, half pleasurable and half fearful, with whichI am preparing to depart.",23
92,"I am going to unexplored regions, to “theland of mist and snow,” but I shall kill no albatross; therefore do notbe alarmed for my safety or if I should come back to you as worn andwoeful as the “Ancient Mariner.” You will smile at my allusion, but Iwill disclose a secret.",23
93,"I have often attributed my attachment to, mypassionate enthusiasm for, the dangerous mysteries of ocean to thatproduction of the most imaginative of modern poets.",23
94,There is somethingat work in my soul which I do not understand.,23
95,"I am practicallyindustrious—painstaking, a workman to execute with perseverance andlabour—but besides this there is a love for the marvellous, a beliefin the marvellous, intertwined in all my projects, which hurries me outof the common pathways of men, even to the wild sea and unvisitedregions I am about to explore.",23
96,But to return to dearer considerations.,24
97,"Shall I meet you again, afterhaving traversed immense seas, and returned by the most southern cape ofAfrica or America?",24
98,"I dare not expect such success, yet I cannot bear tolook on the reverse of the picture.",24
99,Continue for the present to write tome by every opportunity: I may receive your letters on some occasions whenI need them most to support my spirits.,24
100,I love you very tenderly.,24
101,"Remember me with affection, should you never hear from me again.",24
102,"Your affectionate brother, Robert Walton",25
103,Letter 3,27
104,"_To Mrs. Saville, England._",28
105,"July 7th, 17—.",29
106,"My dear Sister,",30
107,I write a few lines in haste to say that I am safe—and well advancedon my voyage.,31
108,"This letter will reach England by a merchantman now onits homeward voyage from Archangel; more fortunate than I, who may notsee my native land, perhaps, for many years.",31
109,"I am, however, in goodspirits: my men are bold and apparently firm of purpose, nor do thefloating sheets of ice that continually pass us, indicating the dangersof the region towards which we are advancing, appear to dismay them.",31
110,"Wehave already reached a very high latitude; but it is the height ofsummer, and although not so warm as in England, the southern gales,which blow us speedily towards those shores which I so ardently desireto attain, breathe a degree of renovating warmth which I had notexpected.",31
111,No incidents have hitherto befallen us that would make a figure in aletter.,32
112,"One or two stiff gales and the springing of a leak areaccidents which experienced navigators scarcely remember to record, andI shall be well content if nothing worse happen to us during our voyage.",32
113,"Adieu, my dear Margaret.",33
114,"Be assured that for my own sake, as well asyours, I will not rashly encounter danger.",33
115,"I will be cool,persevering, and prudent.",33
116,But success _shall_ crown my endeavours.,34
117,Wherefore not?,34
118,"Thus far Ihave gone, tracing a secure way over the pathless seas, the very starsthemselves being witnesses and testimonies of my triumph.",34
119,Why notstill proceed over the untamed yet obedient element?,34
120,What can stop thedetermined heart and resolved will of man?,34
121,My swelling heart involuntarily pours itself out thus.,35
122,But I mustfinish.,35
123,Heaven bless my beloved sister!,35
124,R.W.,36
125,Letter 4,38
126,"_To Mrs. Saville, England._",39
127,"August 5th, 17—.",40
128,"So strange an accident has happened to us that I cannot forbearrecording it, although it is very probable that you will see me beforethese papers can come into your possession.",41
129,"Last Monday (July 31st) we were nearly surrounded by ice, which closedin the ship on all sides, scarcely leaving her the sea-room in whichshe floated.",42
130,"Our situation was somewhat dangerous, especially as wewere compassed round by a very thick fog.",42
131,"We accordingly lay to,hoping that some change would take place in the atmosphere and weather.",42
132,"About two o’clock the mist cleared away, and we beheld, stretched outin every direction, vast and irregular plains of ice, which seemed tohave no end.",43
133,"Some of my comrades groaned, and my own mind began togrow watchful with anxious thoughts, when a strange sight suddenlyattracted our attention and diverted our solicitude from our ownsituation.",43
134,"We perceived a low carriage, fixed on a sledge and drawn bydogs, pass on towards the north, at the distance of half a mile; abeing which had the shape of a man, but apparently of gigantic stature,sat in the sledge and guided the dogs.",43
135,We watched the rapid progressof the traveller with our telescopes until he was lost among thedistant inequalities of the ice.,43
136,This appearance excited our unqualified wonder.,44
137,"We were, as we believed,many hundred miles from any land; but this apparition seemed to denote thatit was not, in reality, so distant as we had supposed.",44
138,"Shut in, however, byice, it was impossible to follow his track, which we had observed with thegreatest attention.",44
139,"About two hours after this occurrence we heard the ground sea, and beforenight the ice broke and freed our ship.",45
140,"We, however, lay to until themorning, fearing to encounter in the dark those large loose masses whichfloat about after the breaking up of the ice.",45
141,I profited of this time torest for a few hours.,45
142,"In the morning, however, as soon as it was light, I went upon deck andfound all the sailors busy on one side of the vessel, apparentlytalking to someone in the sea.",46
143,"It was, in fact, a sledge, like that wehad seen before, which had drifted towards us in the night on a largefragment of ice.",46
144,Only one dog remained alive; but there was a humanbeing within it whom the sailors were persuading to enter the vessel.,46
145,"He was not, as the other traveller seemed to be, a savage inhabitant ofsome undiscovered island, but a European.",46
146,"When I appeared on deck themaster said, “Here is our captain, and he will not allow you to perishon the open sea.”",46
147,"On perceiving me, the stranger addressed me in English, although with aforeign accent.",47
148,"“Before I come on board your vessel,” said he,“will you have the kindness to inform me whither you are bound?”",47
149,You may conceive my astonishment on hearing such a question addressedto me from a man on the brink of destruction and to whom I should havesupposed that my vessel would have been a resource which he would nothave exchanged for the most precious wealth the earth can afford.,48
150,"Ireplied, however, that we were on a voyage of discovery towards thenorthern pole.",48
151,Upon hearing this he appeared satisfied and consented to come on board.,49
152,Good God!,49
153,"Margaret, if you had seen the man who thus capitulated forhis safety, your surprise would have been boundless.",49
154,"His limbs werenearly frozen, and his body dreadfully emaciated by fatigue andsuffering.",49
155,I never saw a man in so wretched a condition.,49
156,"We attemptedto carry him into the cabin, but as soon as he had quitted the freshair he fainted.",49
157,We accordingly brought him back to the deck andrestored him to animation by rubbing him with brandy and forcing him toswallow a small quantity.,49
158,As soon as he showed signs of life wewrapped him up in blankets and placed him near the chimney of thekitchen stove.,49
159,"By slow degrees he recovered and ate a little soup,which restored him wonderfully.",49
160,"Two days passed in this manner before he was able to speak, and I oftenfeared that his sufferings had deprived him of understanding.",50
161,"When hehad in some measure recovered, I removed him to my own cabin andattended on him as much as my duty would permit.",50
162,"I never saw a moreinteresting creature: his eyes have generally an expression ofwildness, and even madness, but there are moments when, if anyoneperforms an act of kindness towards him or does him any the mosttrifling service, his whole countenance is lighted up, as it were, witha beam of benevolence and sweetness that I never saw equalled.",50
163,"But heis generally melancholy and despairing, and sometimes he gnashes histeeth, as if impatient of the weight of woes that oppresses him.",50
164,"When my guest was a little recovered I had great trouble to keep offthe men, who wished to ask him a thousand questions; but I would notallow him to be tormented by their idle curiosity, in a state of bodyand mind whose restoration evidently depended upon entire repose.",51
165,"Once, however, the lieutenant asked why he had come so far upon the icein so strange a vehicle.",51
166,"His countenance instantly assumed an aspect of the deepest gloom, andhe replied, “To seek one who fled from me.”",52
167,“And did the man whom you pursued travel in the same fashion?”,53
168,“Yes.”,54
169,"“Then I fancy we have seen him, for the day before we picked you up wesaw some dogs drawing a sledge, with a man in it, across the ice.”",55
170,"This aroused the stranger’s attention, and he asked a multitude ofquestions concerning the route which the dæmon, as he called him, hadpursued.",56
171,"Soon after, when he was alone with me, he said, “I have,doubtless, excited your curiosity, as well as that of these goodpeople; but you are too considerate to make inquiries.”",56
172,“Certainly; it would indeed be very impertinent and inhuman in me totrouble you with any inquisitiveness of mine.”,57
173,“And yet you rescued me from a strange and perilous situation; you havebenevolently restored me to life.”,58
174,Soon after this he inquired if I thought that the breaking up of theice had destroyed the other sledge.,59
175,"I replied that I could not answerwith any degree of certainty, for the ice had not broken until nearmidnight, and the traveller might have arrived at a place of safetybefore that time; but of this I could not judge.",59
176,From this time a new spirit of life animated the decaying frame of thestranger.,60
177,"He manifested the greatest eagerness to be upon deck to watch forthe sledge which had before appeared; but I have persuaded him to remain inthe cabin, for he is far too weak to sustain the rawness of the atmosphere.",60
178,I have promised that someone should watch for him and give him instantnotice if any new object should appear in sight.,60
179,Such is my journal of what relates to this strange occurrence up to thepresent day.,61
180,The stranger has gradually improved in health but is verysilent and appears uneasy when anyone except myself enters his cabin.,61
181,"Yet his manners are so conciliating and gentle that the sailors are allinterested in him, although they have had very little communicationwith him.",61
182,"For my own part, I begin to love him as a brother, and hisconstant and deep grief fills me with sympathy and compassion.",61
183,"He musthave been a noble creature in his better days, being even now in wreckso attractive and amiable.",61
184,"I said in one of my letters, my dear Margaret, that I should find no friendon the wide ocean; yet I have found a man who, before his spirit had beenbroken by misery, I should have been happy to have possessed as the brotherof my heart.",62
185,"I shall continue my journal concerning the stranger at intervals,should I have any fresh incidents to record.",63
186,"August 13th, 17—.",65
187,My affection for my guest increases every day.,66
188,He excites at once myadmiration and my pity to an astonishing degree.,66
189,How can I see sonoble a creature destroyed by misery without feeling the most poignantgrief?,66
190,"He is so gentle, yet so wise; his mind is so cultivated, andwhen he speaks, although his words are culled with the choicest art,yet they flow with rapidity and unparalleled eloquence.",66
191,"He is now much recovered from his illness and is continually on the deck,apparently watching for the sledge that preceded his own.",67
192,"Yet, althoughunhappy, he is not so utterly occupied by his own misery but that heinterests himself deeply in the projects of others.",67
193,"He has frequentlyconversed with me on mine, which I have communicated to him withoutdisguise.",67
194,He entered attentively into all my arguments in favour of myeventual success and into every minute detail of the measures I had takento secure it.,67
195,"I was easily led by the sympathy which he evinced to use thelanguage of my heart, to give utterance to the burning ardour of my souland to say, with all the fervour that warmed me, how gladly I wouldsacrifice my fortune, my existence, my every hope, to the furtherance of myenterprise.",67
196,"One man’s life or death were but a small price to pay forthe acquirement of the knowledge which I sought, for the dominion I shouldacquire and transmit over the elemental foes of our race.",67
197,"As I spoke, adark gloom spread over my listener’s countenance.",67
198,"At first Iperceived that he tried to suppress his emotion; he placed his hands beforehis eyes, and my voice quivered and failed me as I beheld tears tricklefast from between his fingers; a groan burst from his heaving breast.",67
199,"Ipaused; at length he spoke, in broken accents: “Unhappy man!",67
200,Do youshare my madness?,67
201,Have you drunk also of the intoxicating draught?,67
202,"Hear me;let me reveal my tale, and you will dash the cup from your lips!”",67
203,"Such words, you may imagine, strongly excited my curiosity; but theparoxysm of grief that had seized the stranger overcame his weakenedpowers, and many hours of repose and tranquil conversation werenecessary to restore his composure.",68
204,"Having conquered the violence of his feelings, he appeared to despisehimself for being the slave of passion; and quelling the dark tyranny ofdespair, he led me again to converse concerning myself personally.",69
205,He askedme the history of my earlier years.,69
206,"The tale was quickly told, but itawakened various trains of reflection.",69
207,"I spoke of my desire of finding afriend, of my thirst for a more intimate sympathy with a fellow mind thanhad ever fallen to my lot, and expressed my conviction that a man couldboast of little happiness who did not enjoy this blessing.",69
208,"“I agree with you,” replied the stranger; “we areunfashioned creatures, but half made up, if one wiser, better, dearer thanourselves—such a friend ought to be—do not lend his aid toperfectionate our weak and faulty natures.",70
209,"I once had a friend, the mostnoble of human creatures, and am entitled, therefore, to judge respectingfriendship.",70
210,"You have hope, and the world before you, and have no cause fordespair.",70
211,But I—I have lost everything and cannot begin lifeanew.”,70
212,"As he said this his countenance became expressive of a calm, settledgrief that touched me to the heart.",71
213,But he was silent and presentlyretired to his cabin.,71
214,"Even broken in spirit as he is, no one can feel more deeply than hedoes the beauties of nature.",72
215,"The starry sky, the sea, and every sightafforded by these wonderful regions seem still to have the power ofelevating his soul from earth.",72
216,"Such a man has a double existence: hemay suffer misery and be overwhelmed by disappointments, yet when hehas retired into himself, he will be like a celestial spirit that has ahalo around him, within whose circle no grief or folly ventures.",72
217,Will you smile at the enthusiasm I express concerning this divinewanderer?,73
218,You would not if you saw him.,73
219,"You have been tutored andrefined by books and retirement from the world, and you are thereforesomewhat fastidious; but this only renders you the more fit toappreciate the extraordinary merits of this wonderful man.",73
220,Sometimes Ihave endeavoured to discover what quality it is which he possesses thatelevates him so immeasurably above any other person I ever knew.,73
221,"Ibelieve it to be an intuitive discernment, a quick but never-failingpower of judgment, a penetration into the causes of things, unequalledfor clearness and precision; add to this a facility of expression and avoice whose varied intonations are soul-subduing music.",73
222,"August 19th, 17—.",75
223,"Yesterday the stranger said to me, “You may easily perceive, CaptainWalton, that I have suffered great and unparalleled misfortunes.",76
224,"I haddetermined at one time that the memory of these evils should die withme, but you have won me to alter my determination.",76
225,"You seek forknowledge and wisdom, as I once did; and I ardently hope that thegratification of your wishes may not be a serpent to sting you, as minehas been.",76
226,"I do not know that the relation of my disasters will beuseful to you; yet, when I reflect that you are pursuing the samecourse, exposing yourself to the same dangers which have rendered mewhat I am, I imagine that you may deduce an apt moral from my tale, onethat may direct you if you succeed in your undertaking and console youin case of failure.",76
227,Prepare to hear of occurrences which are usuallydeemed marvellous.,76
228,"Were we among the tamer scenes of nature I mightfear to encounter your unbelief, perhaps your ridicule; but many thingswill appear possible in these wild and mysterious regions which wouldprovoke the laughter of those unacquainted with the ever-varied powersof nature; nor can I doubt but that my tale conveys in its seriesinternal evidence of the truth of the events of which it is composed.”",76
229,"You may easily imagine that I was much gratified by the offeredcommunication, yet I could not endure that he should renew his grief bya recital of his misfortunes.",77
230,"I felt the greatest eagerness to hearthe promised narrative, partly from curiosity and partly from a strongdesire to ameliorate his fate if it were in my power.",77
231,I expressedthese feelings in my answer.,77
232,"“I thank you,” he replied, “for your sympathy, but it isuseless; my fate is nearly fulfilled.",78
233,"I wait but for one event, and then Ishall repose in peace.",78
234,"I understand your feeling,” continued he,perceiving that I wished to interrupt him; “but you are mistaken, myfriend, if thus you will allow me to name you; nothing can alter mydestiny; listen to my history, and you will perceive how irrevocably it isdetermined.”",78
235,He then told me that he would commence his narrative the next day when Ishould be at leisure.,79
236,This promise drew from me the warmest thanks.,79
237,"I haveresolved every night, when I am not imperatively occupied by my duties, torecord, as nearly as possible in his own words, what he has related duringthe day.",79
238,"If I should be engaged, I will at least make notes.",79
239,"Thismanuscript will doubtless afford you the greatest pleasure; but to me, whoknow him, and who hear it from his own lips—with what interest andsympathy shall I read it in some future day!",79
240,"Even now, as I commence mytask, his full-toned voice swells in my ears; his lustrous eyes dwell on mewith all their melancholy sweetness; I see his thin hand raised inanimation, while the lineaments of his face are irradiated by the soulwithin.",79
241,"Strange and harrowing must be his story, frightful the storm whichembraced the gallant vessel on its course and wrecked it—thus!",79
242,Chapter 1,81
243,"I am by birth a Genevese, and my family is one of the mostdistinguished of that republic.",82
244,"My ancestors had been for many yearscounsellors and syndics, and my father had filled several publicsituations with honour and reputation.",82
245,He was respected by all whoknew him for his integrity and indefatigable attention to publicbusiness.,82
246,"He passed his younger days perpetually occupied by theaffairs of his country; a variety of circumstances had prevented hismarrying early, nor was it until the decline of life that he became ahusband and the father of a family.",82
247,"As the circumstances of his marriage illustrate his character, I cannotrefrain from relating them.",83
248,"One of his most intimate friends was amerchant who, from a flourishing state, fell, through numerousmischances, into poverty.",83
249,"This man, whose name was Beaufort, was of aproud and unbending disposition and could not bear to live in povertyand oblivion in the same country where he had formerly beendistinguished for his rank and magnificence.",83
250,"Having paid his debts,therefore, in the most honourable manner, he retreated with hisdaughter to the town of Lucerne, where he lived unknown and inwretchedness.",83
251,My father loved Beaufort with the truest friendship andwas deeply grieved by his retreat in these unfortunate circumstances.,83
252,He bitterly deplored the false pride which led his friend to a conductso little worthy of the affection that united them.,83
253,"He lost no time inendeavouring to seek him out, with the hope of persuading him to beginthe world again through his credit and assistance.",83
254,"Beaufort had taken effectual measures to conceal himself, and it was tenmonths before my father discovered his abode.",84
255,"Overjoyed at this discovery,he hastened to the house, which was situated in a mean street near theReuss.",84
256,"But when he entered, misery and despair alone welcomed him.",84
257,"Beauforthad saved but a very small sum of money from the wreck of his fortunes, butit was sufficient to provide him with sustenance for some months, and inthe meantime he hoped to procure some respectable employment in amerchant’s house.",84
258,"The interval was, consequently, spent in inaction;his grief only became more deep and rankling when he had leisure forreflection, and at length it took so fast hold of his mind that at the endof three months he lay on a bed of sickness, incapable of any exertion.",84
259,"His daughter attended him with the greatest tenderness, but she sawwith despair that their little fund was rapidly decreasing and thatthere was no other prospect of support.",85
260,"But Caroline Beaufortpossessed a mind of an uncommon mould, and her courage rose to supporther in her adversity.",85
261,She procured plain work; she plaited straw andby various means contrived to earn a pittance scarcely sufficient tosupport life.,85
262,Several months passed in this manner.,86
263,"Her father grew worse; her timewas more entirely occupied in attending him; her means of subsistencedecreased; and in the tenth month her father died in her arms, leavingher an orphan and a beggar.",86
264,"This last blow overcame her, and she kneltby Beaufort’s coffin weeping bitterly, when my father entered thechamber.",86
265,"He came like a protecting spirit to the poor girl, whocommitted herself to his care; and after the interment of his friend heconducted her to Geneva and placed her under the protection of arelation.",86
266,Two years after this event Caroline became his wife.,86
267,"There was a considerable difference between the ages of my parents, butthis circumstance seemed to unite them only closer in bonds of devotedaffection.",87
268,There was a sense of justice in my father’s upright mindwhich rendered it necessary that he should approve highly to lovestrongly.,87
269,Perhaps during former years he had suffered from thelate-discovered unworthiness of one beloved and so was disposed to seta greater value on tried worth.,87
270,"There was a show of gratitude andworship in his attachment to my mother, differing wholly from thedoting fondness of age, for it was inspired by reverence for hervirtues and a desire to be the means of, in some degree, recompensingher for the sorrows she had endured, but which gave inexpressible graceto his behaviour to her.",87
271,Everything was made to yield to her wishesand her convenience.,87
272,"He strove to shelter her, as a fair exotic issheltered by the gardener, from every rougher wind and to surround herwith all that could tend to excite pleasurable emotion in her soft andbenevolent mind.",87
273,"Her health, and even the tranquillity of her hithertoconstant spirit, had been shaken by what she had gone through.",87
274,"Duringthe two years that had elapsed previous to their marriage my father hadgradually relinquished all his public functions; and immediately aftertheir union they sought the pleasant climate of Italy, and the changeof scene and interest attendant on a tour through that land of wonders,as a restorative for her weakened frame.",87
275,From Italy they visited Germany and France.,88
276,"I, their eldest child, was bornat Naples, and as an infant accompanied them in their rambles.",88
277,I remainedfor several years their only child.,88
278,"Much as they were attached to eachother, they seemed to draw inexhaustible stores of affection from a verymine of love to bestow them upon me.",88
279,My mother’s tender caresses andmy father’s smile of benevolent pleasure while regarding me are myfirst recollections.,88
280,"I was their plaything and their idol, and somethingbetter—their child, the innocent and helpless creature bestowed onthem by Heaven, whom to bring up to good, and whose future lot it was intheir hands to direct to happiness or misery, according as they fulfilledtheir duties towards me.",88
281,"With this deep consciousness of what they owedtowards the being to which they had given life, added to the active spiritof tenderness that animated both, it may be imagined that while duringevery hour of my infant life I received a lesson of patience, of charity,and of self-control, I was so guided by a silken cord that all seemed butone train of enjoyment to me.",88
282,For a long time I was their only care.,89
283,"My mother had much desired to have adaughter, but I continued their single offspring.",89
284,"When I was about fiveyears old, while making an excursion beyond the frontiers of Italy, theypassed a week on the shores of the Lake of Como.",89
285,Their benevolentdisposition often made them enter the cottages of the poor.,89
286,"This, to mymother, was more than a duty; it was a necessity, apassion—remembering what she had suffered, and how she had beenrelieved—for her to act in her turn the guardian angel to theafflicted.",89
287,"During one of their walks a poor cot in the foldings of a valeattracted their notice as being singularly disconsolate, while the numberof half-clothed children gathered about it spoke of penury in its worstshape.",89
288,"One day, when my father had gone by himself to Milan, my mother,accompanied by me, visited this abode.",89
289,"She found a peasant and his wife,hard working, bent down by care and labour, distributing a scanty meal tofive hungry babes.",89
