,sentences,paragraph
18,“I must begetting somewhere near the centre of the earth.,8
19,"Let me see: that wouldbe four thousand miles down, I think—” (for, you see, Alice had learntseveral things of this sort in her lessons in the schoolroom, andthough this was not a _very_ good opportunity for showing off herknowledge, as there was no one to listen to her, still it was goodpractice to say it over) “—yes, that’s about the right distance—butthen I wonder what Latitude or Longitude I’ve got to?” (Alice had noidea what Latitude was, or Longitude either, but thought they were nicegrand words to say.)",8
20,Presently she began again.,9
21,“I wonder if I shall fall right _through_the earth!,9
22,How funny it’ll seem to come out among the people that walkwith their heads downward!,9
23,"The Antipathies, I think—” (she was ratherglad there _was_ no one listening, this time, as it didn’t sound at allthe right word) “—but I shall have to ask them what the name of thecountry is, you know.",9
24,"Please, Ma’am, is this New Zealand or Australia?”(and she tried to curtsey as she spoke—fancy _curtseying_ as you’refalling through the air!",9
25,Do you think you could manage it?),9
26,“And whatan ignorant little girl she’ll think me for asking!,9
27,"No, it’ll never doto ask: perhaps I shall see it written up somewhere.”",9
28,"Down, down, down.",10
29,"There was nothing else to do, so Alice soon begantalking again.",10
30,"“Dinah’ll miss me very much to-night, I should think!”(Dinah was the cat.)",10
31,“I hope they’ll remember her saucer of milk attea-time.,10
32,Dinah my dear!,10
33,I wish you were down here with me!,10
34,"There areno mice in the air, I’m afraid, but you might catch a bat, and that’svery like a mouse, you know.",10
35,"But do cats eat bats, I wonder?” And hereAlice began to get rather sleepy, and went on saying to herself, in adreamy sort of way, “Do cats eat bats?",10
36,"Do cats eat bats?” andsometimes, “Do bats eat cats?” for, you see, as she couldn’t answereither question, it didn’t much matter which way she put it.",10
37,"She feltthat she was dozing off, and had just begun to dream that she waswalking hand in hand with Dinah, and saying to her very earnestly,“Now, Dinah, tell me the truth: did you ever eat a bat?” when suddenly,thump!",10
38,thump!,10
39,"down she came upon a heap of sticks and dry leaves, andthe fall was over.",10
40,"Alice was not a bit hurt, and she jumped up on to her feet in a moment:she looked up, but it was all dark overhead; before her was anotherlong passage, and the White Rabbit was still in sight, hurrying downit.",11
41,"There was not a moment to be lost: away went Alice like the wind,and was just in time to hear it say, as it turned a corner, “Oh my earsand whiskers, how late it’s getting!” She was close behind it when sheturned the corner, but the Rabbit was no longer to be seen: she foundherself in a long, low hall, which was lit up by a row of lamps hangingfrom the roof.",11
42,"There were doors all round the hall, but they were all locked; and whenAlice had been all the way down one side and up the other, trying everydoor, she walked sadly down the middle, wondering how she was ever toget out again.",12
43,"Suddenly she came upon a little three-legged table, all made of solidglass; there was nothing on it except a tiny golden key, and Alice’sfirst thought was that it might belong to one of the doors of the hall;but, alas!",13
44,"either the locks were too large, or the key was too small,but at any rate it would not open any of them.",13
45,"However, on the secondtime round, she came upon a low curtain she had not noticed before, andbehind it was a little door about fifteen inches high: she tried thelittle golden key in the lock, and to her great delight it fitted!",13
46,"Alice opened the door and found that it led into a small passage, notmuch larger than a rat-hole: she knelt down and looked along thepassage into the loveliest garden you ever saw.",14
47,"How she longed to getout of that dark hall, and wander about among those beds of brightflowers and those cool fountains, but she could not even get her headthrough the doorway; “and even if my head would go through,” thoughtpoor Alice, “it would be of very little use without my shoulders.",14
48,"Oh,how I wish I could shut up like a telescope!",14
49,"I think I could, if I onlyknew how to begin.” For, you see, so many out-of-the-way things hadhappened lately, that Alice had begun to think that very few thingsindeed were really impossible.",14
50,"There seemed to be no use in waiting by the little door, so she wentback to the table, half hoping she might find another key on it, or atany rate a book of rules for shutting people up like telescopes: thistime she found a little bottle on it, (“which certainly was not herebefore,” said Alice,) and round the neck of the bottle was a paperlabel, with the words “DRINK ME,” beautifully printed on it in largeletters.",15
51,"It was all very well to say “Drink me,” but the wise little Alice wasnot going to do _that_ in a hurry.",16
52,"“No, I’ll look first,” she said,“and see whether it’s marked ‘_poison_’ or not”; for she had readseveral nice little histories about children who had got burnt, andeaten up by wild beasts and other unpleasant things, all because they_would_ not remember the simple rules their friends had taught them:such as, that a red-hot poker will burn you if you hold it too long;and that if you cut your finger _very_ deeply with a knife, it usuallybleeds; and she had never forgotten that, if you drink much from abottle marked “poison,” it is almost certain to disagree with you,sooner or later.",16
53,"However, this bottle was _not_ marked “poison,” so Alice ventured totaste it, and finding it very nice, (it had, in fact, a sort of mixedflavour of cherry-tart, custard, pine-apple, roast turkey, toffee, andhot buttered toast,) she very soon finished it off.",17
54,“What a curious feeling!” said Alice; “I must be shutting up like atelescope.”,18
55,"And so it was indeed: she was now only ten inches high, and her facebrightened up at the thought that she was now the right size for goingthrough the little door into that lovely garden.",19
56,"First, however, shewaited for a few minutes to see if she was going to shrink any further:she felt a little nervous about this; “for it might end, you know,”said Alice to herself, “in my going out altogether, like a candle.",19
57,"Iwonder what I should be like then?” And she tried to fancy what theflame of a candle is like after the candle is blown out, for she couldnot remember ever having seen such a thing.",19
58,"After a while, finding that nothing more happened, she decided on goinginto the garden at once; but, alas for poor Alice!",20
59,"when she got to thedoor, she found she had forgotten the little golden key, and when shewent back to the table for it, she found she could not possibly reachit: she could see it quite plainly through the glass, and she tried herbest to climb up one of the legs of the table, but it was too slippery;and when she had tired herself out with trying, the poor little thingsat down and cried.",20
60,"“Come, there’s no use in crying like that!” said Alice to herself,rather sharply; “I advise you to leave off this minute!” She generallygave herself very good advice, (though she very seldom followed it),and sometimes she scolded herself so severely as to bring tears intoher eyes; and once she remembered trying to box her own ears for havingcheated herself in a game of croquet she was playing against herself,for this curious child was very fond of pretending to be two people.",21
61,"“But it’s no use now,” thought poor Alice, “to pretend to be twopeople!",21
62,"Why, there’s hardly enough of me left to make _one_ respectableperson!”",21
63,"Soon her eye fell on a little glass box that was lying under the table:she opened it, and found in it a very small cake, on which the words“EAT ME” were beautifully marked in currants.",22
64,"“Well, I’ll eat it,” saidAlice, “and if it makes me grow larger, I can reach the key; and if itmakes me grow smaller, I can creep under the door; so either way I’llget into the garden, and I don’t care which happens!”",22
65,"She ate a little bit, and said anxiously to herself, “Which way?",23
66,"Whichway?”, holding her hand on the top of her head to feel which way it wasgrowing, and she was quite surprised to find that she remained the samesize: to be sure, this generally happens when one eats cake, but Alicehad got so much into the way of expecting nothing but out-of-the-waythings to happen, that it seemed quite dull and stupid for life to goon in the common way.",23
67,"So she set to work, and very soon finished off the cake.",24
68,CHAPTER II.,25
69,The Pool of Tears,25
70,"“Curiouser and curiouser!” cried Alice (she was so much surprised, thatfor the moment she quite forgot how to speak good English); “now I’mopening out like the largest telescope that ever was!",26
71,"Good-bye, feet!”(for when she looked down at her feet, they seemed to be almost out ofsight, they were getting so far off).",26
72,"“Oh, my poor little feet, Iwonder who will put on your shoes and stockings for you now, dears?",26
73,I’msure _I_ shan’t be able!,26
74,"I shall be a great deal too far off to troublemyself about you: you must manage the best way you can;—but I must bekind to them,” thought Alice, “or perhaps they won’t walk the way Iwant to go!",26
75,Let me see: I’ll give them a new pair of boots everyChristmas.”,26
76,And she went on planning to herself how she would manage it.,27
77,"“They mustgo by the carrier,” she thought; “and how funny it’ll seem, sendingpresents to one’s own feet!",27
78,And how odd the directions will look!,27
79,"     _Alice’s Right Foot, Esq., Hearthrug, near the Fender,_ (_with     Alice’s love_).",28
80,"Oh dear, what nonsense I’m talking!”",29
81,"Just then her head struck against the roof of the hall: in fact she wasnow more than nine feet high, and she at once took up the little goldenkey and hurried off to the garden door.",30
82,Poor Alice!,31
83,"It was as much as she could do, lying down on one side, tolook through into the garden with one eye; but to get through was morehopeless than ever: she sat down and began to cry again.",31
84,"“You ought to be ashamed of yourself,” said Alice, “a great girl likeyou,” (she might well say this), “to go on crying in this way!",32
85,"Stopthis moment, I tell you!” But she went on all the same, sheddinggallons of tears, until there was a large pool all round her, aboutfour inches deep and reaching half down the hall.",32
86,"After a time she heard a little pattering of feet in the distance, andshe hastily dried her eyes to see what was coming.",33
87,"It was the WhiteRabbit returning, splendidly dressed, with a pair of white kid glovesin one hand and a large fan in the other: he came trotting along in agreat hurry, muttering to himself as he came, “Oh!",33
88,"the Duchess, theDuchess!",33
89,Oh!,33
90,"won’t she be savage if I’ve kept her waiting!” Alice feltso desperate that she was ready to ask help of any one; so, when theRabbit came near her, she began, in a low, timid voice, “If you please,sir—” The Rabbit started violently, dropped the white kid gloves andthe fan, and skurried away into the darkness as hard as he could go.",33
91,"Alice took up the fan and gloves, and, as the hall was very hot, shekept fanning herself all the time she went on talking: “Dear, dear!",34
92,Howqueer everything is to-day!,34
93,And yesterday things went on just as usual.,34
94,I wonder if I’ve been changed in the night?,34
95,Let me think: was I thesame when I got up this morning?,34
96,I almost think I can remember feelinga little different.,34
97,"But if I’m not the same, the next question is, Whoin the world am I?",34
98,"Ah, _that’s_ the great puzzle!” And she beganthinking over all the children she knew that were of the same age asherself, to see if she could have been changed for any of them.",34
99,"“I’m sure I’m not Ada,” she said, “for her hair goes in such longringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’tbe Mabel, for I know all sorts of things, and she, oh!",35
100,she knows such avery little!,35
101,"Besides, _she’s_ she, and _I’m_ I, and—oh dear, howpuzzling it all is!",35
102,I’ll try if I know all the things I used to know.,35
103,"Let me see: four times five is twelve, and four times six is thirteen,and four times seven is—oh dear!",35
104,I shall never get to twenty at thatrate!,35
105,"However, the Multiplication Table doesn’t signify: let’s tryGeography.",35
106,"London is the capital of Paris, and Paris is the capital ofRome, and Rome—no, _that’s_ all wrong, I’m certain!",35
107,I must have beenchanged for Mabel!,35
108,"I’ll try and say ‘_How doth the little_—’” and shecrossed her hands on her lap as if she were saying lessons, and beganto repeat it, but her voice sounded hoarse and strange, and the wordsdid not come the same as they used to do:—",35
109,"“How doth the little crocodile    Improve his shining tail,And pour the waters of the Nile    On every golden scale!",36
110,"“How cheerfully he seems to grin,    How neatly spread his claws,And welcome little fishes in    With gently smiling jaws!”",37
111,"“I’m sure those are not the right words,” said poor Alice, and her eyesfilled with tears again as she went on, “I must be Mabel after all, andI shall have to go and live in that poky little house, and have next tono toys to play with, and oh!",38
112,ever so many lessons to learn!,38
113,"No, I’vemade up my mind about it; if I’m Mabel, I’ll stay down here!",38
114,"It’ll beno use their putting their heads down and saying ‘Come up again, dear!’I shall only look up and say ‘Who am I then?",38
115,"Tell me that first, andthen, if I like being that person, I’ll come up: if not, I’ll stay downhere till I’m somebody else’—but, oh dear!” cried Alice, with a suddenburst of tears, “I do wish they _would_ put their heads down!",38
116,I am so_very_ tired of being all alone here!”,38
117,"As she said this she looked down at her hands, and was surprised to seethat she had put on one of the Rabbit’s little white kid gloves whileshe was talking.",39
118,“How _can_ I have done that?” she thought.,39
119,"“I must begrowing small again.” She got up and went to the table to measureherself by it, and found that, as nearly as she could guess, she wasnow about two feet high, and was going on shrinking rapidly: she soonfound out that the cause of this was the fan she was holding, and shedropped it hastily, just in time to avoid shrinking away altogether.",39
120,"“That _was_ a narrow escape!” said Alice, a good deal frightened at thesudden change, but very glad to find herself still in existence; “andnow for the garden!” and she ran with all speed back to the littledoor: but, alas!",40
121,"the little door was shut again, and the little goldenkey was lying on the glass table as before, “and things are worse thanever,” thought the poor child, “for I never was so small as thisbefore, never!",40
122,"And I declare it’s too bad, that it is!”",40
123,"As she said these words her foot slipped, and in another moment,splash!",41
124,she was up to her chin in salt water.,41
125,"Her first idea was thatshe had somehow fallen into the sea, “and in that case I can go back byrailway,” she said to herself.",41
126,"(Alice had been to the seaside once inher life, and had come to the general conclusion, that wherever you goto on the English coast you find a number of bathing machines in thesea, some children digging in the sand with wooden spades, then a rowof lodging houses, and behind them a railway station.)",41
127,"However, shesoon made out that she was in the pool of tears which she had wept whenshe was nine feet high.",41
128,"“I wish I hadn’t cried so much!” said Alice, as she swam about, tryingto find her way out.",42
129,"“I shall be punished for it now, I suppose, bybeing drowned in my own tears!",42
130,"That _will_ be a queer thing, to besure!",42
131,"However, everything is queer to-day.”",42
132,"Just then she heard something splashing about in the pool a little wayoff, and she swam nearer to make out what it was: at first she thoughtit must be a walrus or hippopotamus, but then she remembered how smallshe was now, and she soon made out that it was only a mouse that hadslipped in like herself.",43
133,"“Would it be of any use, now,” thought Alice, “to speak to this mouse?",44
134,"Everything is so out-of-the-way down here, that I should think verylikely it can talk: at any rate, there’s no harm in trying.” So shebegan: “O Mouse, do you know the way out of this pool?",44
135,"I am very tiredof swimming about here, O Mouse!” (Alice thought this must be the rightway of speaking to a mouse: she had never done such a thing before, butshe remembered having seen in her brother’s Latin Grammar, “A mouse—ofa mouse—to a mouse—a mouse—O mouse!”) The Mouse looked at her ratherinquisitively, and seemed to her to wink with one of its little eyes,but it said nothing.",44
136,"“Perhaps it doesn’t understand English,” thought Alice; “I daresay it’sa French mouse, come over with William the Conqueror.” (For, with allher knowledge of history, Alice had no very clear notion how long agoanything had happened.)",45
137,So she began again: “Où est ma chatte?” whichwas the first sentence in her French lesson-book.,45
138,"The Mouse gave asudden leap out of the water, and seemed to quiver all over withfright.",45
139,"“Oh, I beg your pardon!” cried Alice hastily, afraid that shehad hurt the poor animal’s feelings.",45
140,“I quite forgot you didn’t likecats.”,45
141,"“Not like cats!” cried the Mouse, in a shrill, passionate voice.",46
142,“Would_you_ like cats if you were me?”,46
143,"“Well, perhaps not,” said Alice in a soothing tone: “don’t be angryabout it.",47
144,And yet I wish I could show you our cat Dinah: I think you’dtake a fancy to cats if you could only see her.,47
145,"She is such a dearquiet thing,” Alice went on, half to herself, as she swam lazily aboutin the pool, “and she sits purring so nicely by the fire, licking herpaws and washing her face—and she is such a nice soft thing tonurse—and she’s such a capital one for catching mice—oh, I beg yourpardon!” cried Alice again, for this time the Mouse was bristling allover, and she felt certain it must be really offended.",47
146,“We won’t talkabout her any more if you’d rather not.”,47
147,"“We indeed!” cried the Mouse, who was trembling down to the end of histail.",48
148,“As if _I_ would talk on such a subject!,48
149,"Our family always_hated_ cats: nasty, low, vulgar things!",48
150,Don’t let me hear the nameagain!”,48
151,"“I won’t indeed!” said Alice, in a great hurry to change the subject ofconversation.",49
152,"“Are you—are you fond—of—of dogs?” The Mouse did notanswer, so Alice went on eagerly: “There is such a nice little dog nearour house I should like to show you!",49
153,"A little bright-eyed terrier, youknow, with oh, such long curly brown hair!",49
154,"And it’ll fetch things whenyou throw them, and it’ll sit up and beg for its dinner, and all sortsof things—I can’t remember half of them—and it belongs to a farmer, youknow, and he says it’s so useful, it’s worth a hundred pounds!",49
155,"He saysit kills all the rats and—oh dear!” cried Alice in a sorrowful tone,“I’m afraid I’ve offended it again!” For the Mouse was swimming awayfrom her as hard as it could go, and making quite a commotion in thepool as it went.",49
156,"So she called softly after it, “Mouse dear!",50
157,"Do come back again, and wewon’t talk about cats or dogs either, if you don’t like them!” When theMouse heard this, it turned round and swam slowly back to her: its facewas quite pale (with passion, Alice thought), and it said in a lowtrembling voice, “Let us get to the shore, and then I’ll tell you myhistory, and you’ll understand why it is I hate cats and dogs.”",50
158,"It was high time to go, for the pool was getting quite crowded with thebirds and animals that had fallen into it: there were a Duck and aDodo, a Lory and an Eaglet, and several other curious creatures.",51
159,"Aliceled the way, and the whole party swam to the shore.",51
160,CHAPTER III.,53
161,A Caucus-Race and a Long Tale,53
162,"They were indeed a queer-looking party that assembled on the bank—thebirds with draggled feathers, the animals with their fur clinging closeto them, and all dripping wet, cross, and uncomfortable.",54
163,"The first question of course was, how to get dry again: they had aconsultation about this, and after a few minutes it seemed quitenatural to Alice to find herself talking familiarly with them, as ifshe had known them all her life.",55
164,"Indeed, she had quite a long argumentwith the Lory, who at last turned sulky, and would only say, “I amolder than you, and must know better;” and this Alice would not allowwithout knowing how old it was, and, as the Lory positively refused totell its age, there was no more to be said.",55
165,"At last the Mouse, who seemed to be a person of authority among them,called out, “Sit down, all of you, and listen to me!",56
166,"_I’ll_ soon makeyou dry enough!” They all sat down at once, in a large ring, with theMouse in the middle.",56
167,"Alice kept her eyes anxiously fixed on it, for shefelt sure she would catch a bad cold if she did not get dry very soon.",56
168,"“Ahem!” said the Mouse with an important air, “are you all ready?",57
169,Thisis the driest thing I know.,57
170,"Silence all round, if you please!",57
171,"‘Williamthe Conqueror, whose cause was favoured by the pope, was soon submittedto by the English, who wanted leaders, and had been of late muchaccustomed to usurpation and conquest.",57
172,"Edwin and Morcar, the earls ofMercia and Northumbria—’”",57
173,"“Ugh!” said the Lory, with a shiver.",58
174,"“I beg your pardon!” said the Mouse, frowning, but very politely: “Didyou speak?”",59
175,“Not I!” said the Lory hastily.,60
176,"“I thought you did,” said the Mouse.",61
177,“—I proceed.,61
178,"‘Edwin and Morcar,the earls of Mercia and Northumbria, declared for him: and evenStigand, the patriotic archbishop of Canterbury, found it advisable—’”",61
179,“Found _what_?” said the Duck.,62
180,"“Found _it_,” the Mouse replied rather crossly: “of course you knowwhat ‘it’ means.”",63
181,"“I know what ‘it’ means well enough, when _I_ find a thing,” said theDuck: “it’s generally a frog or a worm.",64
182,"The question is, what did thearchbishop find?”",64
183,"The Mouse did not notice this question, but hurriedly went on, “‘—foundit advisable to go with Edgar Atheling to meet William and offer himthe crown.",65
184,William’s conduct at first was moderate.,65
185,"But the insolenceof his Normans—’ How are you getting on now, my dear?” it continued,turning to Alice as it spoke.",65
186,"“As wet as ever,” said Alice in a melancholy tone: “it doesn’t seem todry me at all.”",66
187,"“In that case,” said the Dodo solemnly, rising to its feet, “I movethat the meeting adjourn, for the immediate adoption of more energeticremedies—”",67
188,“Speak English!” said the Eaglet.,68
189,"“I don’t know the meaning of halfthose long words, and, what’s more, I don’t believe you do either!” Andthe Eaglet bent down its head to hide a smile: some of the other birdstittered audibly.",68
190,"“What I was going to say,” said the Dodo in an offended tone, “was,that the best thing to get us dry would be a Caucus-race.”",69
191,"“What _is_ a Caucus-race?” said Alice; not that she wanted much toknow, but the Dodo had paused as if it thought that _somebody_ ought tospeak, and no one else seemed inclined to say anything.",70
192,"“Why,” said the Dodo, “the best way to explain it is to do it.” (And,as you might like to try the thing yourself, some winter day, I willtell you how the Dodo managed it.)",71
193,"First it marked out a race-course, in a sort of circle, (“the exactshape doesn’t matter,” it said,) and then all the party were placedalong the course, here and there.",72
194,"There was no “One, two, three, andaway,” but they began running when they liked, and left off when theyliked, so that it was not easy to know when the race was over.",72
195,"However,when they had been running half an hour or so, and were quite dryagain, the Dodo suddenly called out “The race is over!” and they allcrowded round it, panting, and asking, “But who has won?”",72
196,"This question the Dodo could not answer without a great deal ofthought, and it sat for a long time with one finger pressed upon itsforehead (the position in which you usually see Shakespeare, in thepictures of him), while the rest waited in silence.",73
197,"At last the Dodosaid, “_Everybody_ has won, and all must have prizes.”",73
198,“But who is to give the prizes?” quite a chorus of voices asked.,74
199,"“Why, _she_, of course,” said the Dodo, pointing to Alice with onefinger; and the whole party at once crowded round her, calling out in aconfused way, “Prizes!",75
200,Prizes!”,75
201,"Alice had no idea what to do, and in despair she put her hand in herpocket, and pulled out a box of comfits, (luckily the salt water hadnot got into it), and handed them round as prizes.",76
202,"There was exactlyone a-piece, all round.",76
203,"“But she must have a prize herself, you know,” said the Mouse.",77
204,"“Of course,” the Dodo replied very gravely.",78
205,"“What else have you got inyour pocket?” he went on, turning to Alice.",78
206,"“Only a thimble,” said Alice sadly.",79
207,"“Hand it over here,” said the Dodo.",80
208,"Then they all crowded round her once more, while the Dodo solemnlypresented the thimble, saying “We beg your acceptance of this elegantthimble;” and, when it had finished this short speech, they allcheered.",81
209,"Alice thought the whole thing very absurd, but they all looked so gravethat she did not dare to laugh; and, as she could not think of anythingto say, she simply bowed, and took the thimble, looking as solemn asshe could.",82
210,"The next thing was to eat the comfits: this caused some noise andconfusion, as the large birds complained that they could not tastetheirs, and the small ones choked and had to be patted on the back.",83
211,"However, it was over at last, and they sat down again in a ring, andbegged the Mouse to tell them something more.",83
212,"“You promised to tell me your history, you know,” said Alice, “and whyit is you hate—C and D,” she added in a whisper, half afraid that itwould be offended again.",84
213,"“Mine is a long and a sad tale!” said the Mouse, turning to Alice, andsighing.",85
214,"“It _is_ a long tail, certainly,” said Alice, looking down with wonderat the Mouse’s tail; “but why do you call it sad?” And she kept onpuzzling about it while the Mouse was speaking, so that her idea of thetale was something like this:—",86
215,"         “Fury said to a mouse, That he met in the house, ‘Let us both         go to law: _I_ will prosecute _you_.—Come, I’ll take no         denial; We must have a trial: For really this morning I’ve         nothing to do.’ Said the mouse to the cur, ‘Such a trial, dear         sir, With no jury or judge, would be wasting our breath.’         ‘I’ll be judge, I’ll be jury,’ Said cunning old Fury: ‘I’ll         try the whole cause, and condemn you to death.’”",87
216,“You are not attending!” said the Mouse to Alice severely.,88
217,“What areyou thinking of?”,88
218,"“I beg your pardon,” said Alice very humbly: “you had got to the fifthbend, I think?”",89
219,"“I had _not!_” cried the Mouse, sharply and very angrily.",90
220,"“A knot!” said Alice, always ready to make herself useful, and lookinganxiously about her.",91
221,"“Oh, do let me help to undo it!”",91
222,"“I shall do nothing of the sort,” said the Mouse, getting up andwalking away.",92
223,“You insult me by talking such nonsense!”,92
224,“I didn’t mean it!” pleaded poor Alice.,93
225,"“But you’re so easily offended,you know!”",93
226,The Mouse only growled in reply.,94
227,"“Please come back and finish your story!” Alice called after it; andthe others all joined in chorus, “Yes, please do!” but the Mouse onlyshook its head impatiently, and walked a little quicker.",95
228,"“What a pity it wouldn’t stay!” sighed the Lory, as soon as it wasquite out of sight; and an old Crab took the opportunity of saying toher daughter “Ah, my dear!",96
229,"Let this be a lesson to you never to lose_your_ temper!” “Hold your tongue, Ma!” said the young Crab, a littlesnappishly.",96
230,“You’re enough to try the patience of an oyster!”,96
231,"“I wish I had our Dinah here, I know I do!” said Alice aloud,addressing nobody in particular.",97
232,“She’d soon fetch it back!”,97
233,"“And who is Dinah, if I might venture to ask the question?” said theLory.",98
234,"Alice replied eagerly, for she was always ready to talk about her pet:“Dinah’s our cat.",99
235,And she’s such a capital one for catching mice youcan’t think!,99
236,"And oh, I wish you could see her after the birds!",99
237,"Why,she’ll eat a little bird as soon as look at it!”",99
238,This speech caused a remarkable sensation among the party.,100
239,"Some of thebirds hurried off at once: one old Magpie began wrapping itself up verycarefully, remarking, “I really must be getting home; the night-airdoesn’t suit my throat!” and a Canary called out in a trembling voiceto its children, “Come away, my dears!",100
240,"It’s high time you were all inbed!” On various pretexts they all moved off, and Alice was soon leftalone.",100
241,“I wish I hadn’t mentioned Dinah!” she said to herself in a melancholytone.,101
242,"“Nobody seems to like her, down here, and I’m sure she’s the bestcat in the world!",101
243,"Oh, my dear Dinah!",101
244,"I wonder if I shall ever see youany more!” And here poor Alice began to cry again, for she felt verylonely and low-spirited.",101
245,"In a little while, however, she again heard alittle pattering of footsteps in the distance, and she looked upeagerly, half hoping that the Mouse had changed his mind, and wascoming back to finish his story.",101
246,CHAPTER IV.,103
247,The Rabbit Sends in a Little Bill,103
248,"It was the White Rabbit, trotting slowly back again, and lookinganxiously about as it went, as if it had lost something; and she heardit muttering to itself “The Duchess!",104
249,The Duchess!,104
250,Oh my dear paws!,104
251,Ohmy fur and whiskers!,104
252,"She’ll get me executed, as sure as ferrets areferrets!",104
253,"Where _can_ I have dropped them, I wonder?” Alice guessed in amoment that it was looking for the fan and the pair of white kidgloves, and she very good-naturedly began hunting about for them, butthey were nowhere to be seen—everything seemed to have changed sinceher swim in the pool, and the great hall, with the glass table and thelittle door, had vanished completely.",104
254,"Very soon the Rabbit noticed Alice, as she went hunting about, andcalled out to her in an angry tone, “Why, Mary Ann, what _are_ youdoing out here?",105
255,"Run home this moment, and fetch me a pair of gloves anda fan!",105
256,"Quick, now!” And Alice was so much frightened that she ran offat once in the direction it pointed to, without trying to explain themistake it had made.",105
257,"“He took me for his housemaid,” she said to herself as she ran.",106
258,“Howsurprised he’ll be when he finds out who I am!,106
259,"But I’d better take himhis fan and gloves—that is, if I can find them.” As she said this, shecame upon a neat little house, on the door of which was a bright brassplate with the name “W.",106
260,"RABBIT,” engraved upon it.",106
261,"She went in withoutknocking, and hurried upstairs, in great fear lest she should meet thereal Mary Ann, and be turned out of the house before she had found thefan and gloves.",106
262,"“How queer it seems,” Alice said to herself, “to be going messages fora rabbit!",107
263,I suppose Dinah’ll be sending me on messages next!” And shebegan fancying the sort of thing that would happen: “‘Miss Alice!,107
264,"Comehere directly, and get ready for your walk!’ ‘Coming in a minute,nurse!",107
265,"But I’ve got to see that the mouse doesn’t get out.’ Only Idon’t think,” Alice went on, “that they’d let Dinah stop in the houseif it began ordering people about like that!”",107
266,"By this time she had found her way into a tidy little room with a tablein the window, and on it (as she had hoped) a fan and two or threepairs of tiny white kid gloves: she took up the fan and a pair of thegloves, and was just going to leave the room, when her eye fell upon alittle bottle that stood near the looking-glass.",108
267,"There was no labelthis time with the words “DRINK ME,” but nevertheless she uncorked itand put it to her lips.",108
268,"“I know _something_ interesting is sure tohappen,” she said to herself, “whenever I eat or drink anything; soI’ll just see what this bottle does.",108
269,"I do hope it’ll make me grow largeagain, for really I’m quite tired of being such a tiny little thing!”",108
270,"It did so indeed, and much sooner than she had expected: before she haddrunk half the bottle, she found her head pressing against the ceiling,and had to stoop to save her neck from being broken.",109
271,"She hastily putdown the bottle, saying to herself “That’s quite enough—I hope I shan’tgrow any more—As it is, I can’t get out at the door—I do wish I hadn’tdrunk quite so much!”",109
272,Alas!,110
273,it was too late to wish that!,110
274,"She went on growing, and growing,and very soon had to kneel down on the floor: in another minute therewas not even room for this, and she tried the effect of lying down withone elbow against the door, and the other arm curled round her head.",110
275,"Still she went on growing, and, as a last resource, she put one arm outof the window, and one foot up the chimney, and said to herself “Now Ican do no more, whatever happens.",110
276,What _will_ become of me?”,110
