,sentences,paragraph
53,"“I was kind of afraid _you_ weren’t, though, when I saw Matthew starting off today.",15
54,I thought maybe he was going to the doctor’s.”,15
55,Marilla’s lips twitched understandingly.,16
56,She had expected Mrs. Rachel up; she had known that the sight of Matthew jaunting off so unaccountably would be too much for her neighbor’s curiosity.,16
57,"“Oh, no, I’m quite well although I had a bad headache yesterday,” she said.",17
58,“Matthew went to Bright River.,17
59,We’re getting a little boy from an orphan asylum in Nova Scotia and he’s coming on the train tonight.”,17
60,If Marilla had said that Matthew had gone to Bright River to meet a kangaroo from Australia Mrs. Rachel could not have been more astonished.,18
61,She was actually stricken dumb for five seconds.,18
62,"It was unsupposable that Marilla was making fun of her, but Mrs. Rachel was almost forced to suppose it.",18
63,"“Are you in earnest, Marilla?” she demanded when voice returned to her.",19
64,"“Yes, of course,” said Marilla, as if getting boys from orphan asylums in Nova Scotia were part of the usual spring work on any well-regulated Avonlea farm instead of being an unheard of innovation.",20
65,Mrs. Rachel felt that she had received a severe mental jolt.,21
66,She thought in exclamation points.,21
67,A boy!,21
68,Marilla and Matthew Cuthbert of all people adopting a boy!,21
69,From an orphan asylum!,21
70,"Well, the world was certainly turning upside down!",21
71,She would be surprised at nothing after this!,21
72,Nothing!,21
73,“What on earth put such a notion into your head?” she demanded disapprovingly.,22
74,"This had been done without her advice being asked, and must perforce be disapproved.",23
75,"“Well, we’ve been thinking about it for some time--all winter in fact,”  returned Marilla.",24
76,“Mrs.,24
77,Alexander Spencer was up here one day before Christmas and she said she was going to get a little girl from the asylum over in Hopeton in the spring.,24
78,Her cousin lives there and Mrs. Spencer has visited her and knows all about it.,24
79,So Matthew and I have talked it over off and on ever since.,24
80,We thought we’d get a boy.,24
81,"Matthew is getting up in years, you know--he’s sixty--and he isn’t so spry as he once was.",24
82,His heart troubles him a good deal.,24
83,And you know how desperate hard it’s got to be to get hired help.,24
84,"There’s never anybody to be had but those stupid, half-grown little French boys; and as soon as you do get one broke into your ways and taught something he’s up and off to the lobster canneries or the States.",24
85,At first Matthew suggested getting a Home boy.,24
86,But I said ‘no’ flat to that.,24
87,"‘They may be all right--I’m not saying they’re not--but no London street Arabs for me,’ I said.",24
88,‘Give me a native born at least.,24
89,"There’ll be a risk, no matter who we get.",24
90,But I’ll feel easier in my mind and sleep sounder at nights if we get a born Canadian.’ So in the end we decided to ask Mrs. Spencer to pick us out one when she went over to get her little girl.,24
91,"We heard last week she was going, so we sent her word by Richard Spencer’s folks at Carmody to bring us a smart, likely boy of about ten or eleven.",24
92,We decided that would be the best age--old enough to be of some use in doing chores right off and young enough to be trained up proper.,24
93,We mean to give him a good home and schooling.,24
94,We had a telegram from Mrs. Alexander Spencer today--the mail-man brought it from the station--saying they were coming on the five-thirty train tonight.,24
95,So Matthew went to Bright River to meet him.,24
96,Mrs. Spencer will drop him off there.,24
97,Of course she goes on to White Sands station herself.”,24
98,"Mrs. Rachel prided herself on always speaking her mind; she proceeded to speak it now, having adjusted her mental attitude to this amazing piece of news.",25
99,"“Well, Marilla, I’ll just tell you plain that I think you’re doing a mighty foolish thing--a risky thing, that’s what.",26
100,You don’t know what you’re getting.,26
101,You’re bringing a strange child into your house and home and you don’t know a single thing about him nor what his disposition is like nor what sort of parents he had nor how he’s likely to turn out.,26
102,"Why, it was only last week I read in the paper how a man and his wife up west of the Island took a boy out of an orphan asylum and he set fire to the house at night--set it _on purpose_, Marilla--and nearly burnt them to a crisp in their beds.",26
103,And I know another case where an adopted boy used to suck the eggs--they couldn’t break him of it.,26
104,"If you had asked my advice in the matter--which you didn’t do, Marilla--I’d have said for mercy’s sake not to think of such a thing, that’s what.”",26
105,This Job’s comforting seemed neither to offend nor to alarm Marilla.,27
106,She knitted steadily on.,27
107,"“I don’t deny there’s something in what you say, Rachel.",28
108,I’ve had some qualms myself.,28
109,But Matthew was terrible set on it.,28
110,"I could see that, so I gave in.",28
111,It’s so seldom Matthew sets his mind on anything that when he does I always feel it’s my duty to give in.,28
112,"And as for the risk, there’s risks in pretty near everything a body does in this world.",28
113,There’s risks in people’s having children of their own if it comes to that--they don’t always turn out well.,28
114,And then Nova Scotia is right close to the Island.,28
115,It isn’t as if we were getting him from England or the States.,28
116,He can’t be much different from ourselves.”,28
117,"“Well, I hope it will turn out all right,” said Mrs. Rachel in a tone that plainly indicated her painful doubts.",29
118,“Only don’t say I didn’t warn you if he burns Green Gables down or puts strychnine in the well--I heard of a case over in New Brunswick where an orphan asylum child did that and the whole family died in fearful agonies.,29
119,"Only, it was a girl in that instance.”",29
120,"“Well, we’re not getting a girl,” said Marilla, as if poisoning wells were a purely feminine accomplishment and not to be dreaded in the case of a boy.",30
121,“I’d never dream of taking a girl to bring up.,30
122,I wonder at Mrs. Alexander Spencer for doing it.,30
123,"But there, _she_ wouldn’t shrink from adopting a whole orphan asylum if she took it into her head.”",30
124,Mrs. Rachel would have liked to stay until Matthew came home with his imported orphan.,31
125,But reflecting that it would be a good two hours at least before his arrival she concluded to go up the road to Robert Bell’s and tell the news.,31
126,"It would certainly make a sensation second to none, and Mrs. Rachel dearly loved to make a sensation.",31
127,"So she took herself away, somewhat to Marilla’s relief, for the latter felt her doubts and fears reviving under the influence of Mrs. Rachel’s pessimism.",31
128,"“Well, of all things that ever were or will be!” ejaculated Mrs. Rachel when she was safely out in the lane.",32
129,“It does really seem as if I must be dreaming.,32
130,"Well, I’m sorry for that poor young one and no mistake.",32
131,"Matthew and Marilla don’t know anything about children and they’ll expect him to be wiser and steadier than his own grandfather, if so be’s he ever had a grandfather, which is doubtful.",32
132,"It seems uncanny to think of a child at Green Gables somehow; there’s never been one there, for Matthew and Marilla were grown up when the new house was built--if they ever _were_ children, which is hard to believe when one looks at them.",32
133,I wouldn’t be in that orphan’s shoes for anything.,32
134,"My, but I pity him, that’s what.”",32
135,So said Mrs. Rachel to the wild rose bushes out of the fulness of her heart; but if she could have seen the child who was waiting patiently at the Bright River station at that very moment her pity would have been still deeper and more profound.,33
136, CHAPTER II.,35
137,Matthew Cuthbert Is Surprised,35
138, MATTHEW Cuthbert and the sorrel mare jogged comfortably over the eight miles to Bright River.,36
139,"It was a pretty road, running along between snug farmsteads, with now and again a bit of balsamy fir wood to drive through or a hollow where wild plums hung out their filmy bloom.",36
140,The air was sweet with the breath of many apple orchards and the meadows sloped away in the distance to horizon mists of pearl and purple; while,36
141,     “The little birds sang as if it were      The one day of summer in all the year.”,37
142,"Matthew enjoyed the drive after his own fashion, except during the moments when he met women and had to nod to them--for in Prince Edward Island you are supposed to nod to all and sundry you meet on the road whether you know them or not.",38
143,Matthew dreaded all women except Marilla and Mrs. Rachel; he had an uncomfortable feeling that the mysterious creatures were secretly laughing at him.,39
144,"He may have been quite right in thinking so, for he was an odd-looking personage, with an ungainly figure and long iron-gray hair that touched his stooping shoulders, and a full, soft brown beard which he had worn ever since he was twenty.",39
145,"In fact, he had looked at twenty very much as he looked at sixty, lacking a little of the grayness.",39
146,"When he reached Bright River there was no sign of any train; he thought he was too early, so he tied his horse in the yard of the small Bright River hotel and went over to the station house.",40
147,The long platform was almost deserted; the only living creature in sight being a girl who was sitting on a pile of shingles at the extreme end.,40
148,"Matthew, barely noting that it _was_ a girl, sidled past her as quickly as possible without looking at her.",40
149,Had he looked he could hardly have failed to notice the tense rigidity and expectation of her attitude and expression.,40
150,"She was sitting there waiting for something or somebody and, since sitting and waiting was the only thing to do just then, she sat and waited with all her might and main.",40
151,"Matthew encountered the stationmaster locking up the ticket office preparatory to going home for supper, and asked him if the five-thirty train would soon be along.",41
152,"“The five-thirty train has been in and gone half an hour ago,” answered that brisk official.",42
153,“But there was a passenger dropped off for you--a little girl.,42
154,She’s sitting out there on the shingles.,42
155,"I asked her to go into the ladies’ waiting room, but she informed me gravely that she preferred to stay outside.",42
156,"‘There was more scope for imagination,’ she said.",42
157,"She’s a case, I should say.”",42
158,"“I’m not expecting a girl,” said Matthew blankly.",43
159,“It’s a boy I’ve come for.,43
160,He should be here.,43
161,Mrs. Alexander Spencer was to bring him over from Nova Scotia for me.”,43
162,The stationmaster whistled.,44
163,"“Guess there’s some mistake,” he said.",45
164,“Mrs.,45
165,Spencer came off the train with that girl and gave her into my charge.,45
166,Said you and your sister were adopting her from an orphan asylum and that you would be along for her presently.,45
167,That’s all I know about it--and I haven’t got any more orphans concealed hereabouts.”,45
168,"“I don’t understand,” said Matthew helplessly, wishing that Marilla was at hand to cope with the situation.",46
169,"“Well, you’d better question the girl,” said the stationmaster carelessly.",47
170,"“I dare say she’ll be able to explain--she’s got a tongue of her own, that’s certain.",47
171,Maybe they were out of boys of the brand you wanted.”,47
172,"He walked jauntily away, being hungry, and the unfortunate Matthew was left to do that which was harder for him than bearding a lion in its den--walk up to a girl--a strange girl--an orphan girl--and demand of her why she wasn’t a boy.",48
173,Matthew groaned in spirit as he turned about and shuffled gently down the platform towards her.,48
174,She had been watching him ever since he had passed her and she had her eyes on him now.,49
175,"Matthew was not looking at her and would not have seen what she was really like if he had been, but an ordinary observer would have seen this: A child of about eleven, garbed in a very short, very tight, very ugly dress of yellowish-gray wincey.",49
176,"She wore a faded brown sailor hat and beneath the hat, extending down her back, were two braids of very thick, decidedly red hair.",49
177,"Her face was small, white and thin, also much freckled; her mouth was large and so were her eyes, which looked green in some lights and moods and gray in others.",49
178,"So far, the ordinary observer; an extraordinary observer might have seen that the chin was very pointed and pronounced; that the big eyes were full of spirit and vivacity; that the mouth was sweet-lipped and expressive; that the forehead was broad and full; in short, our discerning extraordinary observer might have concluded that no commonplace soul inhabited the body of this stray woman-child of whom shy Matthew Cuthbert was so ludicrously afraid.",50
179,"Matthew, however, was spared the ordeal of speaking first, for as soon as she concluded that he was coming to her she stood up, grasping with one thin brown hand the handle of a shabby, old-fashioned carpet-bag; the other she held out to him.",51
180,"“I suppose you are Mr. Matthew Cuthbert of Green Gables?” she said in a peculiarly clear, sweet voice.",52
181,“I’m very glad to see you.,52
182,I was beginning to be afraid you weren’t coming for me and I was imagining all the things that might have happened to prevent you.,52
183,"I had made up my mind that if you didn’t come for me tonight I’d go down the track to that big wild cherry-tree at the bend, and climb up into it to stay all night.",52
184,"I wouldn’t be a bit afraid, and it would be lovely to sleep in a wild cherry-tree all white with bloom in the moonshine, don’t you think?",52
185,"You could imagine you were dwelling in marble halls, couldn’t you?",52
186,"And I was quite sure you would come for me in the morning, if you didn’t tonight.”",52
187,Matthew had taken the scrawny little hand awkwardly in his; then and there he decided what to do.,53
188,He could not tell this child with the glowing eyes that there had been a mistake; he would take her home and let Marilla do that.,53
189,"She couldn’t be left at Bright River anyhow, no matter what mistake had been made, so all questions and explanations might as well be deferred until he was safely back at Green Gables.",53
190,"“I’m sorry I was late,” he said shyly.",54
191,“Come along.,54
192,The horse is over in the yard.,54
193,Give me your bag.”,54
194,"“Oh, I can carry it,” the child responded cheerfully.",55
195,“It isn’t heavy.,55
196,"I’ve got all my worldly goods in it, but it isn’t heavy.",55
197,And if it isn’t carried in just a certain way the handle pulls out--so I’d better keep it because I know the exact knack of it.,55
198,It’s an extremely old carpet-bag.,55
199,"Oh, I’m very glad you’ve come, even if it would have been nice to sleep in a wild cherry-tree.",55
200,"We’ve got to drive a long piece, haven’t we?",55
201,Mrs. Spencer said it was eight miles.,55
202,I’m glad because I love driving.,55
203,"Oh, it seems so wonderful that I’m going to live with you and belong to you.",55
204,I’ve never belonged to anybody--not really.,55
205,But the asylum was the worst.,55
206,"I’ve only been in it four months, but that was enough.",55
207,"I don’t suppose you ever were an orphan in an asylum, so you can’t possibly understand what it is like.",55
208,It’s worse than anything you could imagine.,55
209,"Mrs. Spencer said it was wicked of me to talk like that, but I didn’t mean to be wicked.",55
210,"It’s so easy to be wicked without knowing it, isn’t it?",55
211,"They were good, you know--the asylum people.",55
212,But there is so little scope for the imagination in an asylum--only just in the other orphans.,55
213,"It was pretty interesting to imagine things about them--to imagine that perhaps the girl who sat next to you was really the daughter of a belted earl, who had been stolen away from her parents in her infancy by a cruel nurse who died before she could confess.",55
214,"I used to lie awake at nights and imagine things like that, because I didn’t have time in the day.",55
215,"I guess that’s why I’m so thin--I _am_ dreadful thin, ain’t I?",55
216,There isn’t a pick on my bones.,55
217,"I do love to imagine I’m nice and plump, with dimples in my elbows.”",55
218,"With this Matthew’s companion stopped talking, partly because she was out of breath and partly because they had reached the buggy.",56
219,"Not another word did she say until they had left the village and were driving down a steep little hill, the road part of which had been cut so deeply into the soft soil that the banks, fringed with blooming wild cherry-trees and slim white birches, were several feet above their heads.",56
220,The child put out her hand and broke off a branch of wild plum that brushed against the side of the buggy.,57
221,“Isn’t that beautiful?,58
222,"What did that tree, leaning out from the bank, all white and lacy, make you think of?” she asked.",58
223,"“Well now, I dunno,” said Matthew.",59
224,"“Why, a bride, of course--a bride all in white with a lovely misty veil.",60
225,"I’ve never seen one, but I can imagine what she would look like.",60
226,I don’t ever expect to be a bride myself.,60
227,I’m so homely nobody will ever want to marry me--unless it might be a foreign missionary.,60
228,I suppose a foreign missionary mightn’t be very particular.,60
229,But I do hope that some day I shall have a white dress.,60
230,That is my highest ideal of earthly bliss.,60
231,I just love pretty clothes.,60
232,"And I’ve never had a pretty dress in my life that I can remember--but of course it’s all the more to look forward to, isn’t it?",60
233,And then I can imagine that I’m dressed gorgeously.,60
234,This morning when I left the asylum I felt so ashamed because I had to wear this horrid old wincey dress.,60
235,"All the orphans had to wear them, you know.",60
236,A merchant in Hopeton last winter donated three hundred yards of wincey to the asylum.,60
237,"Some people said it was because he couldn’t sell it, but I’d rather believe that it was out of the kindness of his heart, wouldn’t you?",60
238,When we got on the train I felt as if everybody must be looking at me and pitying me.,60
239,"But I just went to work and imagined that I had on the most beautiful pale blue silk dress--because when you _are_ imagining you might as well imagine something worth while--and a big hat all flowers and nodding plumes, and a gold watch, and kid gloves and boots.",60
240,I felt cheered up right away and I enjoyed my trip to the Island with all my might.,60
241,I wasn’t a bit sick coming over in the boat.,60
242,"Neither was Mrs. Spencer, although she generally is.",60
243,"She said she hadn’t time to get sick, watching to see that I didn’t fall overboard.",60
244,She said she never saw the beat of me for prowling about.,60
245,"But if it kept her from being seasick it’s a mercy I did prowl, isn’t it?",60
246,"And I wanted to see everything that was to be seen on that boat, because I didn’t know whether I’d ever have another opportunity.",60
247,"Oh, there are a lot more cherry-trees all in bloom!",60
248,This Island is the bloomiest place.,60
249,"I just love it already, and I’m so glad I’m going to live here.",60
250,"I’ve always heard that Prince Edward Island was the prettiest place in the world, and I used to imagine I was living here, but I never really expected I would.",60
251,"It’s delightful when your imaginations come true, isn’t it?",60
252,But those red roads are so funny.,60
253,When we got into the train at Charlottetown and the red roads began to flash past I asked Mrs. Spencer what made them red and she said she didn’t know and for pity’s sake not to ask her any more questions.,60
254,She said I must have asked her a thousand already.,60
255,"I suppose I had, too, but how are you going to find out about things if you don’t ask questions?",60
256,And what _does_ make the roads red?”,60
257,"“Well now, I dunno,” said Matthew.",61
258,"“Well, that is one of the things to find out sometime.",62
259,Isn’t it splendid to think of all the things there are to find out about?,62
260,It just makes me feel glad to be alive--it’s such an interesting world.,62
261,"It wouldn’t be half so interesting if we knew all about everything, would it?",62
262,"There’d be no scope for imagination then, would there?",62
263,But am I talking too much?,62
264,People are always telling me I do.,62
265,Would you rather I didn’t talk?,62
266,If you say so I’ll stop.,62
267,"I can _stop_ when I make up my mind to it, although it’s difficult.”",62
268,"Matthew, much to his own surprise, was enjoying himself.",63
269,Like most quiet folks he liked talkative people when they were willing to do the talking themselves and did not expect him to keep up his end of it.,63
270,But he had never expected to enjoy the society of a little girl.,63
271,"Women were bad enough in all conscience, but little girls were worse.",63
272,"He detested the way they had of sidling past him timidly, with sidewise glances, as if they expected him to gobble them up at a mouthful if they ventured to say a word.",63
273,That was the Avonlea type of well-bred little girl.,63
274,"But this freckled witch was very different, and although he found it rather difficult for his slower intelligence to keep up with her brisk mental processes he thought that he “kind of liked her chatter.” So he said as shyly as usual:",63
275,"“Oh, you can talk as much as you like.",64
276,I don’t mind.”,64
277,"“Oh, I’m so glad.",65
278,I know you and I are going to get along together fine.,65
279,It’s such a relief to talk when one wants to and not be told that children should be seen and not heard.,65
280,I’ve had that said to me a million times if I have once.,65
281,And people laugh at me because I use big words.,65
282,"But if you have big ideas you have to use big words to express them, haven’t you?”",65
283,"“Well now, that seems reasonable,” said Matthew.",66
284,“Mrs.,67
285,Spencer said that my tongue must be hung in the middle.,67
286,But it isn’t--it’s firmly fastened at one end.,67
287,Mrs. Spencer said your place was named Green Gables.,67
288,I asked her all about it.,67
289,And she said there were trees all around it.,67
290,I was gladder than ever.,67
291,I just love trees.,67
292,"And there weren’t any at all about the asylum, only a few poor weeny-teeny things out in front with little whitewashed cagey things about them.",67
293,"They just looked like orphans themselves, those trees did.",67
294,It used to make me want to cry to look at them.,67
295,"I used to say to them, ‘Oh, you _poor_ little things!",67
296,"If you were out in a great big woods with other trees all around you and little mosses and June bells growing over your roots and a brook not far away and birds singing in your branches, you could grow, couldn’t you?",67
297,But you can’t where you are.,67
298,"I know just exactly how you feel, little trees.’ I felt sorry to leave them behind this morning.",67
299,"You do get so attached to things like that, don’t you?",67
300,Is there a brook anywhere near Green Gables?,67
301,I forgot to ask Mrs. Spencer that.”,67
302,"“Well now, yes, there’s one right below the house.”",68
303,“Fancy.,69
304,It’s always been one of my dreams to live near a brook.,69
305,"I never expected I would, though.",69
306,"Dreams don’t often come true, do they?",69
307,Wouldn’t it be nice if they did?,69
308,But just now I feel pretty nearly perfectly happy.,69
309,"I can’t feel exactly perfectly happy because--well, what color would you call this?”",69
310,She twitched one of her long glossy braids over her thin shoulder and held it up before Matthew’s eyes.,70
311,"Matthew was not used to deciding on the tints of ladies’ tresses, but in this case there couldn’t be much doubt.",70
312,"“It’s red, ain’t it?” he said.",71
313,The girl let the braid drop back with a sigh that seemed to come from her very toes and to exhale forth all the sorrows of the ages.,72
314,"“Yes, it’s red,” she said resignedly.",73
315,“Now you see why I can’t be perfectly happy.,73
316,Nobody could who has red hair.,73
317,I don’t mind the other things so much--the freckles and the green eyes and my skinniness.,73
318,I can imagine them away.,73
319,I can imagine that I have a beautiful rose-leaf complexion and lovely starry violet eyes.,73
320,But I _cannot_ imagine that red hair away.,73
321,I do my best.,73
322,"I think to myself, ‘Now my hair is a glorious black, black as the raven’s wing.’ But all the time I _know_ it is just plain red and it breaks my heart.",73
323,It will be my lifelong sorrow.,73
324,I read of a girl once in a novel who had a lifelong sorrow but it wasn’t red hair.,73
325,Her hair was pure gold rippling back from her alabaster brow.,73
326,What is an alabaster brow?,73
327,I never could find out.,73
328,Can you tell me?”,73
329,"“Well now, I’m afraid I can’t,” said Matthew, who was getting a little dizzy.",74
330,He felt as he had once felt in his rash youth when another boy had enticed him on the merry-go-round at a picnic.,74
331,"“Well, whatever it was it must have been something nice because she was divinely beautiful.",75
332,Have you ever imagined what it must feel like to be divinely beautiful?”,75
333,"“Well now, no, I haven’t,” confessed Matthew ingenuously.",76
334,"“I have, often.",77
335,Which would you rather be if you had the choice--divinely beautiful or dazzlingly clever or angelically good?”,77
336,"“Well now, I--I don’t know exactly.”",78
337,“Neither do I. I can never decide.,79
338,But it doesn’t make much real difference for it isn’t likely I’ll ever be either.,79
339,It’s certain I’ll never be angelically good.,79
340,"Mrs. Spencer says--oh, Mr. Cuthbert!",79
341,"Oh, Mr.",79
342,Cuthbert!!,79
343,"Oh, Mr.",79
344,Cuthbert!!,79
345,!”,79
346,That was not what Mrs. Spencer had said; neither had the child tumbled out of the buggy nor had Matthew done anything astonishing.,80
347,They had simply rounded a curve in the road and found themselves in the “Avenue.”,80
348,"The “Avenue,” so called by the Newbridge people, was a stretch of road four or five hundred yards long, completely arched over with huge, wide-spreading apple-trees, planted years ago by an eccentric old farmer.",81
349,Overhead was one long canopy of snowy fragrant bloom.,81
350,Below the boughs the air was full of a purple twilight and far ahead a glimpse of painted sunset sky shone like a great rose window at the end of a cathedral aisle.,81
351,Its beauty seemed to strike the child dumb.,82
352,"She leaned back in the buggy, her thin hands clasped before her, her face lifted rapturously to the white splendor above.",82
353,Even when they had passed out and were driving down the long slope to Newbridge she never moved or spoke.,82
354,"Still with rapt face she gazed afar into the sunset west, with eyes that saw visions trooping splendidly across that glowing background.",82
355,"Through Newbridge, a bustling little village where dogs barked at them and small boys hooted and curious faces peered from the windows, they drove, still in silence.",82
356,When three more miles had dropped away behind them the child had not spoken.,82
357,"She could keep silence, it was evident, as energetically as she could talk.",82
358,"“I guess you’re feeling pretty tired and hungry,” Matthew ventured to say at last, accounting for her long visitation of dumbness with the only reason he could think of.",83
359,“But we haven’t very far to go now--only another mile.”,83
360,"She came out of her reverie with a deep sigh and looked at him with the dreamy gaze of a soul that had been wondering afar, star-led.",84
361,"“Oh, Mr. Cuthbert,” she whispered, “that place we came through--that white place--what was it?”",85
362,"“Well now, you must mean the Avenue,” said Matthew after a few moments’ profound reflection.",86
363,“It is a kind of pretty place.”,86
364,“Pretty?,87
365,"Oh, _pretty_ doesn’t seem the right word to use.",87
366,"Nor beautiful, either.",87
367,They don’t go far enough.,87
368,"Oh, it was wonderful--wonderful.",87
369,It’s the first thing I ever saw that couldn’t be improved upon by imagination.,87
370,It just satisfied me here”--she put one hand on her breast--“it made a queer funny ache and yet it was a pleasant ache.,87
371,"Did you ever have an ache like that, Mr. Cuthbert?”",87
372,"“Well now, I just can’t recollect that I ever had.”",88
373,“I have it lots of times--whenever I see anything royally beautiful.,89
374,But they shouldn’t call that lovely place the Avenue.,89
